;nero;col. 086;
001;acqua;aqua;
002;amaranto;amaranth;
003;arancione;orange;
004;argento;silver;
005;avio;air force blue;
005;avio;air-force blue;
006;avorio;ivory;
008;bianco;white;
009;blu;blue;
010;blu - grigio;blue - grey;
011;blu su nero;blue on black;
012;blu acqua;aqua blue;
013;blu capri;capri blue;
014;blu elettrico;electric blue;
015;blu iris;iris blue;
017;blu navy - argento;navy blue - silver;
017;blu navy;navy blue;
018;bordeaux;burgundy;
020;bronzo;bronze;
022;carta da zucchero;azure;
023;celeste;sky blue;
024;cioccolato;chocolate;
025;cipria;powder pink;
026;blu cobalto;cobalt blue;
026;cobalto - argento;cobalt blue - silver;
026;cobalto;cobalt blue;
028;ecru;ecru;
035;ghiaccio;ice;
036;giallo;yellow;
037;giallo - verde;yellow - green;
038;grafite;graphite;
039;grigio;great;
039;grigio;grey;
041;grigio scuro;dark grey;
044;lime;lime;
045;magenta;magenta;
046;mare;sea blue;
047;marsala;marsala;
048;mattone;brick;
049;mattone - beige;brick - beige;
050;melanzana;aubergine;
051;mostarda;mustard;
052;muschio;moss green;
053;narcissus;narcissus;
054;naturale + oro;natural + gold;
054;naturale bianco;natural;
054;naturale;natural;
055;nero - argento;black - silver;
055;nero + argento;black + silver;
055;nero;black;
055;vernice nero + oro;patent black + gold;
055;vernice nero;patent black;
059;oceano;ocean;
060;oliva;olive;
061;oro;gold;
062;oro rosa;pink gold;
063;ottanio;teal;
066;petrolio;petroleum blue;
067;phard;blush pink;
068;polvere;dusty blue;
069;porpora;purple;
071;roccia;rock;
072;rosa;pink;
074;rosa - salmone;pink - salmon;
075;rosa smoke;rose smoke;
076;rosso - argento;red - silver;
076;rosso;red;
077;rubino;ocean;
077;rubino;ruby;
078;sabbia - argento;sand - silver;
078;sabbia;sand;
079;senape;mustard;
080;salvia;sage;
081;smeraldo;emerald;
084;testa di moro + ottone;dark brown + aged brass;
084;testa di moro;dark brown;
086;tortora;dove-grey;
087;taupe;taupe;
088;turchese;turquoise;
089;verde;green;
090;verde bianco;green white;
090;verde bianco;white green;
090;verde su bianco;green on white;
092;verde scuro;dark green;
093;vino;wine;
095;viola desaturato;pale violet;
096;viola pastello;pastel violet;
097;violetto;violet;
098;blu-blu;blue - blue;
099;grigio-tortora;grey - dove-grey;
100;kiwi-verde;kiwi - green;
101;kiwi;kiwi;
102;denim - cuoio;denim - leather;
103;denim;denim;
104;terracotta - phard;terracotta - blush pink;
105;grigio - avorio;grey - ivory;
106;kiwi - polvere;kiwi - dusty blue;
107;salmone - terracotta;salmon - terracotta;
108;terracotta;terracotta;
112;purple;purple;
115;salvia - glicine;sage - wisteria;
117;rosa - cielo;pink - sky blue;
118;cielo;sky blue;
119;fragola;strawberry;
122;salmone - blu;salmon - blue;
123;blu - polvere;blue - dust blue;
124;glicine - grigio;wisteria - grey;
125;multicolor;multicolour;
126;cielo-rosa;sky blue - pink;
127;glicine-tortora;wisteria - dove-grey;
128;salmone;salmon;
130;azzurro;azure;
130;azzurro;light blue;
131;antique green;antique green;
131;verde antico;antique green;
132;biscotto;biscuit;
133;grigio chiaro;light grey;
134;antracite;anthracite;
135;peltro;pewter;
136;becco d'oca;duck beack;
136;becco d'oca;duck beak;
137;bluette;bright blue;
138;turchese menta;turquoise mint;
139;mela - argento;apple - silver;
139;mela;apple;
140;palme;palms;
141;blu pastello;pastel blue;
142;lampone;raspberry;
143;neve;snow;
144;ginestra;broom;
145;iride;rainbow;
146;mix esagoni;hexagons mix;
148;maculato blu;blue spotted;
149;maculato phard;blush pink spotted;
150;zebrato nero;black zebra-striped;
154;ciliegia;cherry;
158;vulcano;volcano;
159;total black;total black;
181;titanio;titanium;
181;titanium;titanium;
182;blu chiaro;light blue;
183;viola;violet;
184;trasparente;transparent;
186;bianco mix;white mix;
191;icona;icon;
192;paperina;daisy duck;
193;paperone;uncle scrooge;
194;paperoga;fethry duck;
195;paperino;donald duck;
196;rosso su bianco;red on white;
197;blu su bianco;blue on white;
198;nero su bianco;black on white;
199;rosso su grigio;red on grey;
200;splash 1;splash 1;
201;splash 2;splash 2;
202;splash 3;splash 3;
211;fiori;flowers;
212;limone;lemon;
213;peonia;peony;
221;cognac;cognac;
227;bianco/nero;white - black;
227;bianco/nero;white/black;
230;terra bruciata;burnt umber;
248;ec<u> - blu;ecru - blue;
248;ecr<u> - blu;ecru - blue;
258;beige;beige;
261;fluo lime;fluo lime;
263;fluo arancione;fluo orange;
264;fluo verde;fluo green;
265;fluo corallo;fluo coral;
266;fluo acqua;fluo aqua;
267;fucsia;fuchsia;
275;marrone;brown;
321;bordeaux - blu;burgundy - blue;
337;carne;nude;
341;dark multicolor;dark multicolor;
347;cedro;cedro;
348;ottone invecchiato;aged brass;
371;latte - argento;milk - silver;
371;latte;milk;
388;oro;gold;
389;argento;silver;
389;silver;silver;
390;rosso su nero;red on black;
391;blu su nero;blu on black;
392;blu su grigio;blue on grey;
408;blu/bianco;blue - white;
413;pluto;pluto;
414;topolino;mickey mouse;
415;pippo;goofy;
422;sangria - argento;sangria - silver;
422;sangria;sangria;
439;bluette - arancione;bright blue - orange;
439;bluette/arancione;bright blue - orange;
444;smeraldo/giallo;emerald - yellow;
479;skyway - argento;skyway - silver;
479;skyway;skyway;
483;champagne;champagne;
484;coral - argento;coral - silver;
484;coral;coral;
484;corallo;coral;
485;atlantic - argento;atlantic - silver;
485;atlantic;atlantic;
486;pink;pink;
487;bianco/nero/cedro;white/black/cedro;
490;giallo;yellow;
497;nero/rosso/bianco;black/red/white;
498;nero/giallo/bianco;black/yellow/white;
499;bianco/rosso/nero;white/red/black;
508;naturale/verde;natural/green;
509;moka;moka;
510;naturale bianco;natural white;
517;bianco/rosa;white/pink;
518;arancione - fucsia - viola;orange - fuchsia - violet;
519;cedro/pink/rosso;cedro/pink/red;
519;naturale/nero;cedro/pink/red;
520;cedro/corallo/pink;cedro/coral/pink;
522;naturale/nero;natural/black;
527;light gold;sand/pink;
527;nero/oro;black/gold;
529;azzurro/giallo;light blue/yellow;
529;pink/roccia;pink/rock;
530;rosso/nero;red/black;
531;corallo/vulcano;coral/volcano;
533;cedro/blu navy;cedro/navy blue;
535;skyway/grafite;skyway/graphite;
