CodeBarre;--008; O bag spring 2018 .continuativo carry over;16; manico extra slim goccia;;;008;bianco;white
CodeBarre;--055; O bag spring 2018 .continuativo carry over;16; manico extra slim goccia;;;055;nero;black
CodeBarre;--084; O bag spring 2018 .continuativo carry over;16; manico extra slim goccia;;;084;testa di moro;dark brown
CodeBarre;--086; O bag spring 2018 .continuativo carry over;16; manico extra slim goccia;;;086;tortora;dove-grey
CodeBarre;ACCEC001-MTS01-004; O bag fall 2018;134; accessori charms O bag;ACCEC001;MTS01;4;argento;silver
CodeBarre;ACCEC001-MTS01-004; O bag fall 2018;134; accessori charms O bag;ACCEC001;MTS01;4;argento;silver
CodeBarre;ACCEC001-MTS01-004; O bag spring 2018;160; accessori charms O bag;ACCEC001;MTS01;004;argento;silver
CodeBarre;ACCEC001-MTS01-004; O bag spring 2018;160; accessori charms O bag;ACCEC001;MTS01;004;argento;silver
CodeBarre;ACCEC001-MTS01-004; O bag summer 2018;140; accessori charms O bag;ACCEC001;MTS01;004;argento;silver
CodeBarre;ACCEC001-MTS01-004; O bag summer 2018;140; accessori charms O bag;ACCEC001;MTS01;004;argento;silver
CodeBarre;ACCEC001-MTS01-017; O bag fall 2018;138; accessori charms O bag;ACCEC001;MTS01;17;blu navy;navy blue
CodeBarre;ACCEC001-MTS01-017; O bag fall 2018;138; accessori charms O bag;ACCEC001;MTS01;17;blu navy;navy blue
CodeBarre;ACCEC001-MTS01-018; O bag fall 2018;138; accessori charms O bag;ACCEC001;MTS01;18;bordeaux;burgundy
CodeBarre;ACCEC001-MTS01-018; O bag fall 2018;138; accessori charms O bag;ACCEC001;MTS01;18;bordeaux;burgundy
CodeBarre;ACCEC001-MTS01-061; O bag fall 2018;134; accessori charms O bag;ACCEC001;MTS01;61;oro;gold
CodeBarre;ACCEC001-MTS01-061; O bag fall 2018;134; accessori charms O bag;ACCEC001;MTS01;61;oro;gold
CodeBarre;ACCEC001-MTS01-061; O bag spring 2018;160; accessori charms O bag;ACCEC001;MTS01;061;oro;gold
CodeBarre;ACCEC001-MTS01-061; O bag spring 2018;160; accessori charms O bag;ACCEC001;MTS01;061;oro;gold
