XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
XXX;;;;;;;;;
XXX;ATTENTION au format des colonnes !;;;;;;;;
XXX;Avant toute edition, changer les formats des colonnes suivantes :;;;;;;;;
XXX;Code Barre :;; numerique sans decimales;;;;;;
XXX;Code Couleur :;;" numerique format ""000""";;;;;;
XXX;;;;;;;;;
8056099179433;OBAGB001-EVS00-371; O bag 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;371;latte;milk
8050450217574;OBAGB001-EVS00-017; O bag 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;17;blu navy;navy blue
8051770308669;OBAGB001-EVS00-078; O bag 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;78;sabbia;sand
8051770308652;OBAGB001-EVS00-071; O bag 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;71;roccia;rock
8051770308638;OBAGB001-EVS00-055; O bag 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;55;nero;black
8056099177125;OBAGB002-EVS00-371; O bag 2018 .continuativo carry over;5; scocca O bag mini;OBAGB002;EVS00;371;latte;milk
8050450218335;OBAGB002-EVS00-017; O bag 2018 .continuativo carry over;5; scocca O bag mini;OBAGB002;EVS00;17;blu navy;navy blue
8050450215631;OBAGB002-EVS00-078; O bag 2018 .continuativo carry over;5; scocca O bag mini;OBAGB002;EVS00;78;sabbia;sand
8051770309819;OBAGB002-EVS00-071; O bag 2018 .continuativo carry over;5; scocca O bag mini;OBAGB002;EVS00;71;roccia;rock
8051770309833;OBAGB002-EVS00-055; O bag 2018 .continuativo carry over;5; scocca O bag mini;OBAGB002;EVS00;55;nero;black
CodeBarre;OBAGB016-EVS00-017; O bag 2018 .continuativo carry over;6; scocca O moon;OBAGB016;EVS00;17;blu navy;navy blue
CodeBarre;OBAGB016-EVS00-055; O bag 2018 .continuativo carry over;6; scocca O moon;OBAGB016;EVS00;55;nero;black
