XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OBAGB036-EVS00-055; O bag 4 SEASONS | ss '18;4; scocca O bag twist EVA;OBAGB036;EVS00;055;nero;black;
CodeBarre;OBAGB036-EVS00-486; O bag 4 SEASONS | ss '18;4; scocca O bag twist EVA;OBAGB036;EVS00;486;pink;pink;
CodeBarre;OBAGB036-EVS00-371; O bag 4 SEASONS | ss '18;4; scocca O bag twist EVA;OBAGB036;EVS00;371;latte;milk;
CodeBarre;OBAGB036-EVS00-484; O bag 4 SEASONS | ss '18;4; scocca O bag twist EVA;OBAGB036;EVS00;484;coral;coral;
CodeBarre;OBAGB036-EVS00-479; O bag 4 SEASONS | ss '18;4; scocca O bag twist EVA;OBAGB036;EVS00;479;skyway;skyway;
CodeBarre;OBAGB036-EVS00-347; O bag 4 SEASONS | ss '18;4; scocca O bag twist EVA;OBAGB036;EVS00;347;cedro;cedro;
CodeBarre;OBAGB036-EVS00-026; O bag 4 SEASONS | ss '18;4; scocca O bag twist EVA;OBAGB036;EVS00;026;cobalto;cobalt blue;
CodeBarre;OBAGB036-EVS00-422; O bag 4 SEASONS | ss '18;4; scocca O bag twist EVA;OBAGB036;EVS00;422;sangria;sangria;
CodeBarre;OBAGB036-EVS00-139; O bag 4 SEASONS | ss '18;4; scocca O bag twist EVA;OBAGB036;EVS00;139;mela;apple;
CodeBarre;OBAGB036-EVS00-001; O bag 4 SEASONS | ss '18;4; scocca O bag twist EVA;OBAGB036;EVS00;001;acqua;aqua;
CodeBarre;OBAGB037-EVS00-055; O bag 4 SEASONS | ss '18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;055;nero;black;
CodeBarre;OBAGB037-EVS00-486; O bag 4 SEASONS | ss '18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;486;pink;pink;
CodeBarre;OBAGB037-EVS00-371; O bag 4 SEASONS | ss '18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;371;latte;milk;
CodeBarre;OBAGB037-EVS00-484; O bag 4 SEASONS | ss '18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;484;coral;coral;
CodeBarre;OBAGB037-EVS00-479; O bag 4 SEASONS | ss '18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;479;skyway;skyway;
CodeBarre;OBAGB037-EVS00-347; O bag 4 SEASONS | ss '18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;347;cedro;cedro;
CodeBarre;OBAGB037-EVS00-026; O bag 4 SEASONS | ss '18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;026;cobalto;cobalt blue;
CodeBarre;OBAGB037-EVS00-422; O bag 4 SEASONS | ss '18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;422;sangria;sangria;
CodeBarre;OBAGB037-EVS00-017; O bag 4 SEASONS | ss '18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;017;blu navy;navy blue;
CodeBarre;OBAGB037-EVS00-076; O bag 4 SEASONS | ss '18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;076;rosso;red;
