Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag 4 SEASONS | ss ‘18;4; scocca O bag twist EVA;OBAGB036;EVS00;055;;nero;black;
 O bag 4 SEASONS | ss ‘18;4; scocca O bag twist EVA;OBAGB036;EVS00;486;;pink;pink;
 O bag 4 SEASONS | ss ‘18;4; scocca O bag twist EVA;OBAGB036;EVS00;371;;latte;milk;
 O bag 4 SEASONS | ss ‘18;4; scocca O bag twist EVA;OBAGB036;EVS00;484;;coral;coral;
 O bag 4 SEASONS | ss ‘18;4; scocca O bag twist EVA;OBAGB036;EVS00;479;;skyway;skyway;
 O bag 4 SEASONS | ss ‘18;4; scocca O bag twist EVA;OBAGB036;EVS00;347;;cedro;cedro;
 O bag 4 SEASONS | ss ‘18;4; scocca O bag twist EVA;OBAGB036;EVS00;026;;cobalto;cobalt blue;
 O bag 4 SEASONS | ss ‘18;4; scocca O bag twist EVA;OBAGB036;EVS00;422;;sangria;sangria;
 O bag 4 SEASONS | ss ‘18;4; scocca O bag twist EVA;OBAGB036;EVS00;139;;mela;apple;
 O bag 4 SEASONS | ss ‘18;4; scocca O bag twist EVA;OBAGB036;EVS00;001;;acqua;aqua;
 O bag 4 SEASONS | ss ‘18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;055;;nero;black;
 O bag 4 SEASONS | ss ‘18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;486;;pink;pink;
 O bag 4 SEASONS | ss ‘18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;371;;latte;milk;
 O bag 4 SEASONS | ss ‘18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;484;;coral;coral;
 O bag 4 SEASONS | ss ‘18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;479;;skyway;skyway;
 O bag 4 SEASONS | ss ‘18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;347;;cedro;cedro;
 O bag 4 SEASONS | ss ‘18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;026;;cobalto;cobalt blue;
 O bag 4 SEASONS | ss ‘18;5; scocca O bag twist mini EVA;OBAGB037;EVS00;422;;sangria;sangria;
