XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OBAGB842_TES20--077;;13; scocca completa;OBAGB842_TES20;;077;rubino;rubino;
CodeBarre;OBAGB842_TES20--559;;13; scocca completa;OBAGB842_TES20;;559;rame;rame;
CodeBarre;OBAGB842_TES20--541;;13; scocca completa;OBAGB842_TES20;;541;verde bosco;verde bosco;
CodeBarre;OBAGB842_TES20--308;;13; scocca completa;OBAGB842_TES20;;308;malva;malva;
CodeBarre;OBAGB842_TES20--389;;13; scocca completa;OBAGB842_TES20;;389;silver;silver;
CodeBarre;OBAGB842_TES20--017;;13; scocca completa;OBAGB842_TES20;;017;blu navy;blu navy;
CodeBarre;OBAGB842_TES20--093;;13; scocca completa;OBAGB842_TES20;;093;vino;vino;
CodeBarre;OBAGB842_TES20--055;;13; scocca completa;OBAGB842_TES20;;055;nero;nero;
CodeBarre;HLESX200_TES20--077;;13; manico extra slim;HLESX200_TES20;;077;rubino;rubino;
CodeBarre;HLESX200_TES20--559;;13; manico extra slim;HLESX200_TES20;;559;rame;rame;
CodeBarre;HLESX200_TES20--541;;13; manico extra slim;HLESX200_TES20;;541;verde bosco;verde bosco;
CodeBarre;HLESX200_TES20--308;;13; manico extra slim;HLESX200_TES20;;308;malva;malva;
CodeBarre;HLESX200_TES20--389;;13; manico extra slim;HLESX200_TES20;;389;silver;silver;
CodeBarre;HLESX200_TES20--017;;13; manico extra slim;HLESX200_TES20;;017;blu navy;blu navy;
CodeBarre;HLESX200_TES20--093;;13; manico extra slim;HLESX200_TES20;;093;vino;vino;
CodeBarre;HLESX200_TES20--055;;13; manico extra slim;HLESX200_TES20;;055;nero;nero;
CodeBarre;SHOUWF00_TES20--077;;13; tracolla new generico;SHOUWF00_TES20;;077;rubino;rubino;
