XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OBAGB001-EVS42-055; O bag for Disney 2017;4; scocca O bag;OBAGB001;EVS42;055;nero;black;
CodeBarre;OBAGB001-EVS42-076; O bag for Disney 2017;4; scocca O bag;OBAGB001;EVS42;076;rosso;red;
CodeBarre;OBAGB001-EVS42-371; O bag for Disney 2017;4; scocca O bag;OBAGB001;EVS42;371;latte;milk;
CodeBarre;OBAGB001-EVS42-540; O bag for Disney 2017;4; scocca O bag;OBAGB001;EVS42;540;curry;curry;
CodeBarre;OBAGB002-EVS41-055; O bag for Disney 2017;5; scocca O bag mini;OBAGB002;EVS41;055;nero;black;
CodeBarre;OBAGB002-EVS41-076; O bag for Disney 2017;5; scocca O bag mini;OBAGB002;EVS41;076;rosso;red;
CodeBarre;OBAGB002-EVS41-371; O bag for Disney 2017;5; scocca O bag mini;OBAGB002;EVS41;371;latte;milk;
CodeBarre;OBAGB002-EVS41-540; O bag for Disney 2017;5; scocca O bag mini;OBAGB002;EVS41;540;curry;curry;
CodeBarre;HLESMD00-ECS46-055; O bag for Disney 2017;8; micromanico tubolare corto;HLESMD00;ECS46;055;nero;black;
CodeBarre;HLESMD00-ECS46-076; O bag for Disney 2017;8; micromanico tubolare corto;HLESMD00;ECS46;076;rosso;red;
CodeBarre;OBAGS001-TESW7-371; O bag for Disney 2017;12; sacca interna O bag tessuto;OBAGS001;TESW7;371;latte;milk;
