Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag fall 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;371;;latte;milk;
 O bag fall 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;017;;blu navy;navy blue;
 O bag fall 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;078;;sabbia;sand;
 O bag fall 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;071;;roccia;rock;
 O bag fall 2018 .continuativo carry over;4; scocca O bag;OBAGB001;EVS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;5; scocca O bag mini;OBAGB002;EVS00;371;;latte;milk;
 O bag fall 2018 .continuativo carry over;5; scocca O bag mini;OBAGB002;EVS00;017;;blu navy;navy blue;
 O bag fall 2018 .continuativo carry over;5; scocca O bag mini;OBAGB002;EVS00;078;;sabbia;sand;
 O bag fall 2018 .continuativo carry over;5; scocca O bag mini;OBAGB002;EVS00;071;;roccia;rock;
 O bag fall 2018 .continuativo carry over;5; scocca O bag mini;OBAGB002;EVS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;6; scocca O moon;OBAGB016;EVS00;017;;blu navy;navy blue;
 O bag fall 2018 .continuativo carry over;6; scocca O moon;OBAGB016;EVS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;6; scocca O moon;OBAGB016;EVS00;078;;sabbia;sand;
 O bag fall 2018 .continuativo carry over;6; scocca O moon;OBAGB016;EVS00;371;;latte;milk;
 O bag fall 2018 .continuativo carry over;6; scocca O moon;OBAGB016;EVS00;071;;roccia;rock;
 O bag fall 2018 .continuativo carry over;7; scocca O moon light;OBAGB017;EVS00;017;;blu navy;navy blue;
 O bag fall 2018 .continuativo carry over;7; scocca O moon light;OBAGB017;EVS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;7; scocca O moon light;OBAGB017;EVS00;071;;roccia;rock;
 O bag fall 2018 .continuativo carry over;7; scocca O moon light;OBAGB017;EVS00;371;;latte;milk;
 O bag fall 2018 .continuativo carry over;8; scocca O swing EVA;OBAGB021;EVS03;371;;latte;milk;
 O bag fall 2018 .continuativo carry over;8; scocca O swing EVA;OBAGB021;EVS03;017;;blu navy;navy blue;
 O bag fall 2018 .continuativo carry over;8; scocca O swing EVA;OBAGB021;EVS03;055;;nero;black;
 O bag fall 2018 .continuativo carry over;8; scocca O swing EVA;OBAGB021;EVS03;078;;sabbia;sand;
 O bag fall 2018 .continuativo carry over;9; scocca sotto O pocket;OBAGB206;EVS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;9; scocca sotto O pocket;OBAGB206;EVS00;071;;roccia;rock;
 O bag fall 2018 .continuativo carry over;9; scocca sotto O pocket;OBAGB206;EVS00;371;;latte;milk;
 O bag fall 2018 .continuativo carry over;9; scocca sotto O pocket;OBAGB206;EVS00;017;;blu navy;navy blue;
 O bag fall 2018 .continuativo carry over;9; scocca sotto O pocket;OBAGB206;EVS00;078;;sabbia;sand;
 O bag fall 2018 .continuativo carry over;10; scocca O pocket micro;OBAGB024;EVS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;10; scocca O pocket micro;OBAGB024;EVS00;371;;latte;milk;
 O bag fall 2018 .continuativo carry over;10; scocca O pocket micro;OBAGB024;EVS00;017;;blu navy;navy blue;
 O bag fall 2018 .continuativo carry over;11; scocca O bag beach EVA;OBAGB012;EVS03;371;;latte;milk;
 O bag fall 2018 .continuativo carry over;11; scocca O bag beach EVA;OBAGB012;EVS03;017;;blu navy;navy blue;
 O bag fall 2018 .continuativo carry over;11; scocca O bag beach EVA;OBAGB012;EVS03;055;;nero;black;
 O bag fall 2018 .continuativo carry over;11; scocca O bag beach EVA;OBAGB012;EVS03;078;;sabbia;sand;
 O bag fall 2018 .continuativo carry over;12; scocca O bag beach mini;OBAGB018;EVS03;371;;latte;milk;
 O bag fall 2018 .continuativo carry over;12; scocca O bag beach mini;OBAGB018;EVS03;055;;nero;black;
 O bag fall 2018 .continuativo carry over;12; scocca O bag beach mini;OBAGB018;EVS03;017;;blu navy;navy blue;
 O bag fall 2018 .continuativo carry over;12; scocca O bag beach mini;OBAGB018;EVS03;078;;sabbia;sand;
 O bag fall 2018 .continuativo carry over;13; scocca O bag beach micro;OBAGB028;EVS03;371;;latte;milk;
 O bag fall 2018 .continuativo carry over;13; scocca O bag beach micro;OBAGB028;EVS03;055;;nero;black;
 O bag fall 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;028;;ecru;ecru;
 O bag fall 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;039;;grigio;grey;
 O bag fall 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;055;;nero;black;
 O bag fall 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;009;;blu;blue;
 O bag fall 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;086;;tortora;dove-grey;
 O bag fall 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;055;;nero;black;
 O bag fall 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;084;;testa di moro;dark brown;
 O bag fall 2018 .continuativo carry over;16; scocca O bag beach micro;OBAGB028;EVS03;084;;testa di moro;dark brown;
 O bag fall 2018 .continuativo carry over;17; manico lungo ecopelle;HLESG000;ECS01;054;;naturale;natural;
 O bag fall 2018 .continuativo carry over;17; manico lungo ecopelle;HLESG000;ECS01;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;17; manico lungo ecopelle;HLESG000;ECS01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;17; manico lungo ecopelle;HLESG000;ECS01;084;;testa di moro;dark brown;
 O bag fall 2018 .continuativo carry over;17; manico lungo ecopelle;HLESG000;ECS01;054;;naturale;natural;
 O bag fall 2018 .continuativo carry over;17; manico lungo ecopelle;HLESG000;ECS01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;17; manico lungo ecopelle;HLESG000;ECS01;009;;blu;blue;
 O bag fall 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;028;;ecru;ecru;
 O bag fall 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;039;;grigio;grey;
 O bag fall 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;009;;blu;blue;
 O bag fall 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;18; manico lungo corda;HLESG000;ROS00;084;;testa di moro;dark brown;
 O bag fall 2018 .continuativo carry over;18; manico extra slim goccia;HLESX800;ECS00;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;18; manico extra slim goccia;HLESX800;ECS00;055;;nero;black;
 O bag fall 2018 .continuativo carry over;18; manico extra slim goccia;HLESX800;ECS00;086;;tortora;dove-grey;
