Code barre;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
CodeBarre; O bag fall 2018;4; scocca O bag EVA;OBAGB001;EVS00;002;amaranto;amaranth;
CodeBarre; O bag fall 2018;4; scocca O bag EVA;OBAGB001;EVS00;038;grafite;graphite;
CodeBarre; O bag fall 2018;4; scocca O bag EVA;OBAGB001;EVS00;463;blu maya;maya blue;
CodeBarre; O bag fall 2018;4; scocca O bag EVA;OBAGB001;EVS00;050;melanzana;aubergine;
CodeBarre; O bag fall 2018;4; scocca O bag EVA;OBAGB001;EVS00;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;4; scocca O bag EVA;OBAGB001;EVS00;076;rosso;red;
CodeBarre; O bag fall 2018;4; scocca O bag EVA;OBAGB001;EVS00;024;cioccolato;chocolate;
CodeBarre; O bag fall 2018;4; scocca O bag EVA;OBAGB001;EVS00;485;atlantic;atlantic;
CodeBarre; O bag fall 2018;4; scocca O bag EVA;OBAGB001;EVS00;540;curry;curry;
CodeBarre; O bag fall 2018;4; scocca O bag EVA;OBAGB001;EVS00;559;rame;copper;
CodeBarre; O bag fall 2018;4; scocca O bag EVA;OBAGB001;EVS00;389;silver;silver;
CodeBarre; O bag fall 2018;4; scocca O bag EVA;OBAGB001;EVS00;075;rosa smoke;rose smoke;
CodeBarre; O bag fall 2018;5; scocca O bag EVA;OBAGB001;EVS00;371;latte;milk;
CodeBarre; O bag fall 2018;5; scocca O bag EVA;OBAGB001;EVS00;017;blu navy;navy blue;
CodeBarre; O bag fall 2018;5; scocca O bag EVA;OBAGB001;EVS00;071;roccia;rock;
CodeBarre; O bag fall 2018;5; scocca O bag EVA;OBAGB001;EVS00;055;nero;black;
CodeBarre; O bag fall 2018;5; scocca O bag EVA;OBAGB001;EVS00;078;sabbia;sand;
CodeBarre; O bag fall 2018;5; scocca O bag EVA;OBAGB001;EVS00;541;verde bosco;green forest;
CodeBarre; O bag fall 2018;6; scocca O bag mini EVA;OBAGB002;EVS00;002;amaranto;amaranth;
CodeBarre; O bag fall 2018;6; scocca O bag mini EVA;OBAGB002;EVS00;485;atlantic;atlantic;
CodeBarre; O bag fall 2018;6; scocca O bag mini EVA;OBAGB002;EVS00;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;6; scocca O bag mini EVA;OBAGB002;EVS00;463;blu maya;maya blue;
CodeBarre; O bag fall 2018;6; scocca O bag mini EVA;OBAGB002;EVS00;024;cioccolato;chocolate;
CodeBarre; O bag fall 2018;6; scocca O bag mini EVA;OBAGB002;EVS00;540;curry;curry;
CodeBarre; O bag fall 2018;6; scocca O bag mini EVA;OBAGB002;EVS00;050;melanzana;aubergine;
CodeBarre; O bag fall 2018;6; scocca O bag mini EVA;OBAGB002;EVS00;038;grafite;graphite;
CodeBarre; O bag fall 2018;6; scocca O bag mini EVA;OBAGB002;EVS00;559;rame;copper;
CodeBarre; O bag fall 2018;6; scocca O bag mini EVA;OBAGB002;EVS00;075;rosa smoke;rose smoke;
CodeBarre; O bag fall 2018;6; scocca O bag mini EVA;OBAGB002;EVS00;389;silver;silver;
CodeBarre; O bag fall 2018;6; scocca O bag mini EVA;OBAGB002;EVS00;076;rosso;red;
CodeBarre; O bag fall 2018;7; scocca O bag mini EVA;OBAGB002;EVS00;017;blu navy;navy blue;
CodeBarre; O bag fall 2018;7; scocca O bag mini EVA;OBAGB002;EVS00;055;nero;black;
CodeBarre; O bag fall 2018;7; scocca O bag mini EVA;OBAGB002;EVS00;371;latte;milk;
CodeBarre; O bag fall 2018;7; scocca O bag mini EVA;OBAGB002;EVS00;071;roccia;rock;
CodeBarre; O bag fall 2018;7; scocca O bag mini EVA;OBAGB002;EVS00;078;sabbia;sand;
CodeBarre; O bag fall 2018;7; scocca O bag mini EVA;OBAGB002;EVS00;541;verde bosco;green forest;
CodeBarre; O bag fall 2018;8; scocca O moon EVA;OBAGB016;EVS00;002;amaranto;amaranth;
CodeBarre; O bag fall 2018;8; scocca O moon EVA;OBAGB016;EVS00;017;blu navy;navy blue;
CodeBarre; O bag fall 2018;8; scocca O moon EVA;OBAGB016;EVS00;485;atlantic;atlantic;
CodeBarre; O bag fall 2018;8; scocca O moon EVA;OBAGB016;EVS00;018;bordeaux;burgundy;
CodeBarre; O bag fall 2018;8; scocca O moon EVA;OBAGB016;EVS00;463;blu maya;maya blue;
