XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OBAGBN41M-TES20-055; O bag capsule soft fall 19;6; scocca new O sweet tessuto;OBAGBN41M;TES20;055;nero;black;
CodeBarre;OBAGBN41M-TES20-154; O bag capsule soft fall 19;6; scocca new O sweet tessuto;OBAGBN41M;TES20;154;ciliegia;strawberry;
CodeBarre;OBAGBN41M-TES20-026; O bag capsule soft fall 19;6; scocca new O sweet tessuto;OBAGBN41M;TES20;026;cobalto;cobalt;
CodeBarre;OBAGBN41M-TES20-111; O bag capsule soft fall 19;6; scocca new O sweet tessuto;OBAGBN41M;TES20;111;ocra;ocra;
CodeBarre;OBAGBN41M-TES20-017; O bag capsule soft fall 19;6; scocca new O sweet tessuto;OBAGBN41M;TES20;017;blu navy;blue navy;
CodeBarre;OBAGBN41M-TES20-018; O bag capsule soft fall 19;6; scocca new O sweet tessuto;OBAGBN41M;TES20;018;bordeaux;bordeaux;
CodeBarre;OBAGBN41M-TES20-038; O bag capsule soft fall 19;6; scocca new O sweet tessuto;OBAGBN41M;TES20;038;grafite;graphite;
CodeBarre;OBAGBN41M-TES20-615; O bag capsule soft fall 19;6; scocca new O sweet tessuto;OBAGBN41M;TES20;615;military;military;
CodeBarre;OBAGBW40M-TES20-055; O bag capsule soft fall 19;7; scocca completa con;OBAGBW40M;TES20;055;nero;black;
CodeBarre;OBAGBW40M-TES20-154; O bag capsule soft fall 19;7; scocca completa con;OBAGBW40M;TES20;154;ciliegia;strawberry;
CodeBarre;OBAGBW40M-TES20-026; O bag capsule soft fall 19;7; scocca completa con;OBAGBW40M;TES20;026;cobalto;cobalt;
CodeBarre;OBAGBW40M-TES20-111; O bag capsule soft fall 19;7; scocca completa con;OBAGBW40M;TES20;111;ocra;ocra;
