067;phard;phard;
076;rosso;red;
132;biscotto;cookie;
144;ginestra;broom;
158;vulcano;volcano;
614;imperial blu;imperial blue;
615;military;military;
389;silver;silver;
616;ice;ice;
038;grafite;graphite;
017;blu navy;blue navy;
055;nero;black;
071;roccia;rock;
078;sabbia;sand;
371;latte;milk;
067;phard;phard;
076;rosso;red;
132;biscotto;cookie;
144;ginestra;broom;
615;military;military;
389;silver;silver;
616;ice;ice;
614;imperial blu;imperial blue;
038;grafite;graphite;
017;blu navy;blue navy;
055;nero;black;
071;roccia;rock;
078;sabbia;sand;
371;latte;milk;
055;nero;black;
371;latte;milk;
067;phard;phard;
614;imperial blu;imperial blue;
615;military;military;
078;sabbia;sand;
017;blu navy;blue navy;
067;phard;phard;
038;grafite;graphite;
076;rosso;red;
055;nero;black;
078;sabbia;sand;
371;latte;milk;
614;imperial blu;imperial blue;
615;military;military;
017;blu navy;blue navy;
038;grafite;graphite;
078;sabbia;sand;
055;nero;black;
371;latte;milk;
615;military;military;
017;blu navy;blue navy;
055;nero;black;
067;phard;phard;
038;grafite;graphite;
071;roccia;rock;
076;rosso;red;
371;latte;milk;
078;sabbia;sand;
614;imperial blu;imperial blue;
144;ginestra;broom;
615;military;military;
616;ice;ice;
017;blu navy;blue navy;
067;phard;phard;
038;grafite;graphite;
078;sabbia;sand;
055;nero;black;
371;latte;milk;
615;military;military;
017;blu navy;blue navy;
067;phard;phard;
038;grafite;graphite;
076;rosso;red;
055;nero;black;
078;sabbia;sand;
371;latte;milk;
614;imperial blu;imperial blue;
615;military;military;
017;blu navy;blue navy;
371;latte;milk;
055;nero;black;
017;blu navy;blue navy;
067;phard;phard;
018;bordeaux;bordeaux;
078;sabbia;sand;
055;nero;black;
371;latte;milk;
614;imperial blu;imperial blue;
615;military;military;
017;blu navy;blue navy;
067;phard;phard;
038;grafite;graphite;
071;roccia;rock;
055;nero;black;
076;rosso;red;
078;sabbia;sand;
614;imperial blu;imperial blue;
144;ginestra;broom;
615;military;military;
371;latte;milk;
616;ice;ice;
158;vulcano;volcano;
017;blu navy;blue navy;
078;sabbia;sand;
055;nero;black;
371;latte;milk;
067;phard;phard;
619;nero/giallo;lack/yellow;
620;rosso/bianco;red/white;
621;imperial blu/bianco;imperial blue/white;
617;military/dianthus;military/dianthus;
618;nero/check;black/check;
067;phard;phard;
078;sabbia;sand;
615;military;military;
055;nero;black;
614;imperial blu;imperial blue;
144;ginestra;broom;
371;latte;milk;
055;nero;black;
615;military;military;
017;blu navy;blue navy;
371;latte;milk;
055;nero;black;
076;rosso;red;
017;blu navy;blue navy;
084;testa di moro;dark brown;
017;blu navy;blue navy;
082;tabacco;tobacco;
038;grafite;graphite;
135;peltro;pewter;
042;legno;wood;
183;viola;violet;
078;sabbia + argento;sand + silver;
017;blu navy + oro;blue navy + gold;
084;testa di moro + oro;dark brown + gold;
612;blu navy + argento;blue navy+silver;
055;nero + argento;black + silver;
613;cuoio + argento;leather + silver;
055;nero;black;
076;rosso;red;
137;bluette;bluette;
371;latte;milk;
055;nero;black;
017;blu navy;blue navy;
132;biscotto;cookie;
615;military;military;
055;nero;black;
078;sabbia + oro;sand + gold;
615;military + oro;military + gold;
055;nero + argento;black + silver;
371;latte + argento;milk + silver;
017;blu navy;blue navy;
371;latte;milk;
055;nero;black;
084;testa di moro;dark brown;
076;rosso;red;
055;nero;black;
076;rosso;red;
137;bluette;bluette;
017;blu navy;blue navy;
082;tabacco;tobacco;
038;grafite;graphite;
135;peltro;pewter;
042;legno;wood;
183;viola;violet;
017;blu navy;blue navy;
108;terracotta;terracotta;
055;nero;black;
084;testa di moro;dark brown;
055;nero;black;
371;latte;milk;
055;nero;black;
076;rosso;red;
137;bluette;bluette;
017;blu navy;blue navy;
076;rosso;red;
055;nero;black;
078;sabbia;sand;
067;phard;phard;
371;latte;milk;
614;imperial blu;imperial blue;
615;military;military;
017;blu navy;blue navy;
221;cognac;cognac;
055;nero;black;
371;latte;milk;
076;rosso;red;
479;skyway;skyway;
017;blu navy;blue navy;
055;nero;black;
078;sabbia;sand;
067;phard;phard;
371;latte;milk;
615;military;military;
054;naturale;natural;
055;nero;black;
371;latte;milk;
055;nero;black;
371;latte;milk;
227;bianco/nero;white/black;
624;biscotto/sabbia;cookie/sand;
622;military/phard;military/phard;
623;blu navy/ice;blue navy/ice;
055;nero;black;
137;bluette;bluette;
076;rosso;red;
371;latte;milk;
615;military;military;
615;military;military;
227;bianco/nero;white/black;
227;bianco/nero;white/black;
017;blu navy;blue navy;
027;cuoio;leather;
055;nero;black;
615;military;military;
017;blu navy;blue navy;
084;testa di moro;dark brown;
017;blu navy;navy blue;
078;sabbia;sand;
026;cobalto;cobalt;
371;latte;milk;
055;nero;black;
067;phard;phard;
615;military;military;
017;blu navy;blue navy;
078;sabbia;sand;
055;nero;black;
084;testa di moro;dark brown;
634;rosso + argento;red + silver;
635;bluette + argento;bluette + silver;
055;nero;black;
017;blu navy + argento;blue navy + silver;
017;blu navy;blue navy;
076;rosso;red;
026;cobalto;cobalt;
158;vulcano;volcano;
036;giallo;yellow;
371;latte;milk;
479;skyway;skyway;
078;sabbia;sand;
071;latte;milk;
017;blu navy;blue navy;
078;sabbia;sand;
055;nero;black;
371;latte;milk;
067;phard;phard;
614;imperial blu;imperial blue;
615;military;military;
009;blu;blue;
039;grigio;grey;
054;naturale;natural;
055;nero;black;
615;military;military;
004;argento;silver;
055;nero;black;
008;bianco;white;
086;tortora;turtledove;
039;grigio;grey;
009;blu;blue;
008;bianco;white;
055;nero;black;
009;blu;blue;
067;phard;phard;
041;grigio scuro;dark grey;
078;sabbia;sand;
086;tortora;turtledove;
615;military;military;
009;blu;blue;
078;sabbia;sand;
134;antracite;anthracite;
227;bianco/nero;white/black;
067;phard;phard;
133;grigio chiaro;light grey;
055;nero;black;
078;sabbia;sand;
084;testa di moro;dark brown;
227;bianco/nero;white/black;
055;nero;black;
086;tortora;turtle dove;
371;latte;milk;
009;blu;blue;
078;sabbia;sand;
134;antracite;anthracite;
055;nero;black;
067;phard;phard;
086;tortora;turtle dove;
038;grafite;graphite;
017;blu navy;blue navy;
078;sabbia;sand;
615;military;military;
227;bianco/nero;white/black;
227;bianco/nero;white/black;
008;bianco;white;
055;nero;black;
086;tortora;turtle dove;
227;bianco/nero;white/black;
227;bianco/nero;white/black;
017;blu navy;blue navy;
227;bianco/nero;white/black;
227;bianco/nero;white/black;
055;nero;black;
137;bluette;bluette;
615;military;military;
615;military;military;
615;military;military;
004;argento;silver;
086;tortora;turtledove;
008;bianco;white;
055;nero;black;
009;blu;blue;
054;naturale;natural;
615;military;military;
008;bianco;white;
055;nero;black;
009;blu;blue;
067;phard;phard;
041;grigio scuro;dark grey;
078;sabbia;sand;
086;tortora;turtledove;
615;military;military;
078;sabbia;sand;
084;testa di moro;dark brown;
227;bianco/nero;white/black;
227;bianco/nero;white/black;
017;blu navy;blue navy;
078;sabbia;sand;
615;military;military;
038;grafite;graphite;
055;nero;black;
067;phard;phard;
086;tortora;tortoise;
227;bianco/nero;white/black;
615;military;military;
227;bianco/nero;white/black;
227;bianco/nero;white/black;
227;bianco/nero;white/black;
017;blu navy;blue navy;
227;bianco/nero;white/black;
615;military;military;
055;nero;black;
137;bluette;bluette;
615;military;military;
004;argento;silver;
055;nero;black;
008;bianco;white;
086;tortora;turtledove;
009;blu;blue;
133;grigio chiaro;light grey;
227;bianco/nero;white/black;
009;blu;blue;
054;naturale;natural;
008;bianco;white;
055;nero;black;
615;military;military;
055;nero;black;
078;sabbia;sand;
084;testa di moro;dark brown;
008;bianco;white;
055;nero;black;
009;blu;blue;
039;grigio;grey;
054;naturale;natural;
076;rosso;red;
009;blu;blue;
134;antracite;antracite;
078;sabbia;sand;
055;nero;black;
371;latte;milk;
067;phard;phard;
615;military;military;
227;bianco/nero;white/black;
055;nero;black;
137;bluette;bluette;
040;grigio nero;grey black;
040;grigio nero;grey black;
055;nero;black;
231;marrone beige;brown beige;
076;rosso;red;
137;bluette;bluette;
144;ginestra;broom;
017;blu navy;blue navy;
615;military;military;
227;bianco/nero;white/black;
615;military;military;
227;bianco/nero;white/black;
076;rosso;red;
008;bianco;white;
055;nero;black;
009;blu;blue;
054;naturale;natural;
009;blu;blue;
078;sabbia;sand;
055;nero;black;
371;latte;milk;
067;phard;phard;
615;military;military;
134;antracite;antracite;
227;bianco/nero;white/black;
055;nero;black;
137;bluette;bluette;
615;military;military;
227;bianco/nero;white/black;
076;rosso;red;
137;bluette;bluette;
144;ginestra;broom;
017;blu navy;blue navy;
615;military;military;
227;bianco/nero;white/black;
008;bianco;white;
055;nero;black;
017;blu navy;blue navy;
054;naturale;natural;
009;blu;blue;
078;sabbia;sand;
055;nero;black;
371;latte;milk;
067;phard;phard;
615;military;military;
227;bianco/nero;white/black;
055;nero;black;
137;bluette;bluette;
615;military;military;
076;rosso;red;
137;bluette;bluette;
144;ginestra;broom;
227;bianco/nero;white/black;
017;blu navy;blue navy;
615;military;military;
227;bianco/nero;white/black;
055;nero;black;
076;rosso;red;
008;bianco;white;
055;nero;black;
009;blu;blue;
078;sabbia;sand;
615;military;military;
055;nero;black;
371;latte;milk;
067;phard;phard;
615;military;military;
137;bluette;bluette;
144;ginestra;broom;
615;military;military;
227;bianco/nero;white/black;
054;naturale;natural;
055;nero;black;
008;bianco;white;
227;bianco/nero;white/black;
227;bianco/nero;white/black;
615;military;military;
615;military;military;
017;blu navy;blue navy;
054;naturale;natural;
055;nero;black;
227;bianco/nero;white/black;
615;military;military;
615;military;military;
227;bianco/nero;white/black;
615;military;military;
058;noce;walnut;
133;grigio;grey;
006;avorio;ivory;
067;phard;phard;
055;nero;black;
379;blu notte;night blue;
227;bianco/nero;white/black;
055;nero;black;
137;bluette;bluette;
067;phard;phard;
615;military;military;
017;blu navy;blue navy;
084;testa di moro;dark brown;
017;blu navy;navy blue;
371;latte;milk;
055;nero;black;
078;sabbia;sand;
076;rosso;red;
227;bianco/nero;white/black;
137;bluette;bluette;
144;ginestra;broom;
067;phard;phard;
615;military;military;
055;nero;black;
371;latte;milk;
615;military;military;
227;bianco/nero;white/black;
227;bianco/nero;white/black;
227;bianco/nero;white/black;
137;bluette;bluette;
371;latte;milk;
055;nero;black;
137;bluette;bluette;
017;blu navy;blue navy;
084;testa di moro;dark brown;
055;nero;black;
017;blu navy;blue navy;
017;blu navy;blue navy;
055;nero;black;
055;nero;black;
371;latte;milk;
055;nero;black;
137;bluette;bluette;
227;bianco/nero;white/black;
615;military;military;
625;nero + gioiello;black + jewel;
626;blu navy + scudetto;blue navy+scudetto;
227;bianco/nero;white/black;
017;blu navy;blue navy;
055;nero;black;
055;nero;black;
137;bluette;bluette;
017;blu navy;blue navy;
084;testa di moro;dark brown;
615;military;military;
227;bianco/nero;white/black;
615;military;military;
055;nero;black;
371;latte;milk;
017;blu navy;blue navy;
078;sabbia;sand;
055;nero;black;
371;latte;milk;
076;rosso;red;
614;imperial blu;imperial blue;
615;military;military;
017;blu navy;navy blue;
092;verde scuro;dark green;
054;naturale;natural;
055;nero;black;
017;blu navy;navy blue;
055;nero;black;
054;naturale;natural;
017;blu navy;blue navy;
092;verde scuro;dark green;
055;nero;black;
108;terracotta;terracotta;
067;phard;phard;
132;biscotto;cookie;
133;grigio chiaro;light grey;
158;vulcano;volcano;
009;blu;blue;
055;nero;black;
078;sabbia;sand;
005;avio;avio;
044;lime;lime;
017;blu navy;navy blue;
055;nero;black;
038;grafite;graphite;
017;blu navy;navy blue;
005;avio;avio;
133;grigio chiaro;light grey;
134;antracite;antracite;
036;giallo;yellow;
018;bordeaux;bordeaux;
134;antracite;anthracite;
055;nero;black;
044;lime;lime;
055;nero;black;
371;latte;milk;
055;nero;black;
055;nero;black;
227;bianco/nero;white/black;
004;argento;silver;
061;oro;gold;
062;oro rosa;pink gold;
008;bianco;white;
137;bluette;bluette;
055;nero;black;
144;ginestra;broom;
076;rosso;red;
067;phard;phard;
137;bluette;bluette;
615;military;military;
055;nero;black;
137;bluette;bluette;
004;argento;silver;
061;oro;gold;
055;nero;black;
137;bluette;bluette;
008;bianco;white;
055;nero;black;
002;amaranto;amaranth;
068;polvere;powder;
062;oro rosa;pink gold;
389;silver;silver;
003;arancione;orange;
023;celeste;light blue;
012;blu acqua;blue water;
025;cipria;powder pink;
013;blu capri;blue capri;
036;giallo;yellow;
045;magenta;magenta;
097;violetto;violet;
060;oliva;olive;
159;total black;total black;
076;rosso;red;
412;fluo blu;blue fluo;
191;icona;icon;
195;paperino;paperino;
193;paperone;paperone;
415;pippo;pippo;
190;minnie;minnie;
414;topolino;topolino;
194;paperoga;paperoga;
011;blu - nero;blue/black;
197;blu su bianco;blue/white;
090;verde bianco;green/white;
198;nero su bianco;black/white;
196;rosso su bianco;red/white;
199;rosso su grigio;red/grey;
237;acqua-nero;water/black;
340;nero/verde;black/green;
004;argento;silver;
061;oro;gold;
067;phard;phard;
076;rosso;red;
017;blu navy;blue navy;
026;cobalto;cobalt;
012;blu acqua;blue water;
081;smeraldo;emerald;
025;cipria;powder pink;
088;turchese;turquoise;
080;salvia;salvia;
347;cedro;cedro;
484;coral;coral;
076;rosso;red;
347;cedro;cedro;
055;nero;black;
422;sangria;asngria;
055;nero;black;
076;rosso;red;
347;cedro;cedro;
078;sabbia;sand;
559;rame;rame;
018;bordeaux;bordeaux;
055;nero;black;
055;nero;black;
076;rosso;red;
389;silver;silver;
062;oro rosa;pink gold;
389;silver;silver;
484;coral;coral;
044;lime;lime;
036;giallo;yellow;
003;arancione;orange;
128;salmone;salmon;
076;rosso;red;
053;narcissus;narcissus;
077;rubino;ruby;
022;carta da zucchero;azure;
025;cipria;powder pink;
069;porpora;purple;
588;orchidea;orchidea;
096;viola pastello;viola pastello;
045;magenta;magenta;
095;viola desaturato;pale violet;
422;sangria;sangria;
486;pink;pink;
002;amaranto;amaranth;
088;turchese;turquoise;
012;blu acqua;aqua blue;
063;ottanio;teal;
081;smeraldo;emerald;
090;verde bianco;white green;
015;blu iris;iris blue;
013;blu capri;capri blue;
014;blu elettrico;electric blue;
023;celeste;sky blue;
485;atlantic;atlantic;
047;marsala;marsala;
024;cioccolato;chocolate;
052;muschio;muschio;
080;salvia;sage;
008;bianco;white;
055;nero;black;
004;argento;silver;
001;acqua;water;
095;viola desaturato;violet desaturated;
108;terracotta;terracotta;
062;oro rosa;pink gold;
389;silver;silver;
061;oro;gold;
072;rosa;pink;
002;amaranto;amaranth;
068;polvere;powder;
044;lime;lime;
183;viola;violet;
063;ottanio;ottanio;
001;acqua;water;
053;narcissus;narcissus;
003;arancione;orange;
112;purple;purple;
015;blu iris;blue iris;
267;fucsia;fucsia;
156;roman numbers;roman numbers;
008;bianco;white;
263;fluo arancione;fluo orange;
076;rosso;red;
265;fluo corallo;fluo coral;
261;fluo lime;fluo lime;
266;fluo acqua;fluo water;
067;phard;phard;
131;antique green;antique green;
133;grigio chiaro;light grey;
008;bianco;white;
008;bianco;white;
055;nero;black;
008;bianco;white;
055;nero;black;
137;bluette;bluette;
004;argento;silver;
061;oro;gold;
076;rosso;red;
388;gold;gold;
389;silver;silver;
487;bianco/nero/cedro;white/black/cedro;
008;bianco;white;
055;nero;black;
025;cipria;powder pink;
059;oceano;ocean;
050;melanzana;aubergine;
060;oliva;olive;
063;ottanio;ottanio;
422;sangria;asngria;
076;rosso;red;
347;cedro;cedro;
067;phard;phard;
131;antique green;antique green;
133;grigio chiaro;light grey;
009;blu;blue;
076;rosso;red;
139;mela;apple;
261;fluo lime;fluo lime;
263;fluo arancione;fluo orange;
264;fluo verde;fluo green;
002;amaranto;amaranth;
068;polvere;powder;
044;lime;lime;
072;rosa;pink;
063;ottanio;ottanio;
183;viola;violet;
131;antique green;antique green;
076;rosso;red;
008;bianco;white;
055;nero;black;
497;nero/rosso/bianco;black/red/white;
498;nero/giallo/bianco;black/yellow/white;
499;bianco/rosso/nero;white/red/black;
055;nero;black;
389;silver;silver;
063;ottanio;ottanio;
026;cobalto;cobalt;
484;coral;coral;
485;atlantic;atlantic;
390;rosso su nero;red/black;
391;blu su nero;blue/black;
026;cobalto;cobalt;
076;rosso;red;
009;blu;blue;
036;giallo;yellow;
076;rosso;red;
044;lime;lime;
003;arancione;orange;
128;salmone;salmon;
036;giallo;yellow;
053;narcissus;narcissus;
002;amaranto;amaranth;
045;magenta;magenta;
076;rosso;red;
112;purple;purple;
025;cipria;powder pink;
096;viola pastello;pastel violet;
095;viola desaturato;pale violet;
022;carta da zucchero;azure;
013;blu capri;capri blue;
015;blu iris;iris blue;
068;polvere;dusty blue;
012;blu acqua;aqua blue;
063;ottanio;teal;
088;turchese;turquoise;
486;pink;pink;
588;orchidea;orchidea;
422;sangria;sangria;
060;oliva;olive;
485;atlantic;atlantic;
080;salvia;sage;
484;coral;coral;
008;bianco;white;
059;oceano;ocean;
036;giallo;yellow;
060;oliva;olive;
055;nero;black;
063;ottanio;ottanio;
484;coral;coral;
486;pink;pink gold;
008;bianco;white;
050;melanzana;aubergine;
025;cipria;powder pink;
055;nero;black;
036;giallo;yellow;
059;oceano;ocean;
060;oliva;olive;
422;sangria;asngria;
063;ottanio;ottanio;
484;coral;coral;
076;rosso;red;
486;pink;pink gold;
008;bianco;white;
063;ottanio;teal;
059;oceano;ocean;
060;oliva;olive;
055;nero;black;
036;giallo;yellow;
025;cipria;powder pink;
076;rosso;red;
486;pink;pink;
422;sangria;sangria;
050;melanzana;aubergine;
055;nero;black;
055;nero;black;
008;bianco;white;
008;bianco;white;
061;oro;gold;
061;oro;gold;
004;argento;silver;
004;argento;silver;
055;nero;black;
463;blu maya;blue maya;
008;bianco;white;
462;arancio;orange;
032;fluo giallo;fluo yellow;
067;phard;phard;
137;bluette;bluette;
615;military;military;
067;phard;phard;
137;bluette;bluette;
615;military;military;
055;nero;black;
615;military;military;
055;nero;black;
615;military;military;
017;blu navy;blue navy;
017;blu navy;blue navy;
017;blu navy;blue navy;
018;bordeaux;bordeaux;
017;blu navy;blue navy;
018;bordeaux;bordeaux;
038;grafite;graphite;
038;grafite;graphite;
017;blu navy;blue navy;
018;bordeaux;bordeaux;
615;military;military;
017;blu navy;blue navy;
018;bordeaux;bordeaux;
615;military;military;
009;blu;blue;
055;nero;black;
055;nero;black;
