XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OBAGB033-EVS00-347; O bag urban Spring 2018;4; scocca O bag urban EVA;OBAGB033;EVS00;347;cedro;cedro;
CodeBarre;OBAGB033-EVS00-078; O bag urban Spring 2018;4; scocca O bag urban EVA;OBAGB033;EVS00;078;sabbia;sand;
CodeBarre;OBAGB033-EVS00-076; O bag urban Spring 2018;4; scocca O bag urban EVA;OBAGB033;EVS00;076;rosso;red;
CodeBarre;OBAGB033-EVS00-371; O bag urban Spring 2018;4; scocca O bag urban EVA;OBAGB033;EVS00;371;latte;milk;
CodeBarre;OBAGB033-EVS00-075; O bag urban Spring 2018;4; scocca O bag urban EVA;OBAGB033;EVS00;075;rosa smoke;smoke pink;
CodeBarre;OBAGB033-EVS00-017; O bag urban Spring 2018;4; scocca O bag urban EVA;OBAGB033;EVS00;017;blu navy;blue navy;
CodeBarre;OBAGB033-EVS00-055; O bag urban Spring 2018;4; scocca O bag urban EVA;OBAGB033;EVS00;055;nero;black;
CodeBarre;HLESCE01-ECS00-018; O bag urban Spring 2018;8; manico doppia catena a "T";HLESCE01;ECS00;018;bordeaux;bordeaux;
CodeBarre;HLESCE01-ECS00-017; O bag urban Spring 2018;8; manico doppia catena a "T";HLESCE01;ECS00;017;blu navy;blue navy;
CodeBarre;HLESCE01-ECS00-055; O bag urban Spring 2018;8; manico doppia catena a "T";HLESCE01;ECS00;055;nero;black;
CodeBarre;OBAGS033-TES01-055; O bag urban Spring 2018;12; sacca interna zip O bag;OBAGS033;TES01;055;nero;black;
CodeBarre;OBAGS033-TES01-054; O bag urban Spring 2018;12; sacca interna zip O bag;OBAGS033;TES01;054;naturale;natural;
CodeBarre;OBAGS033-TES01-017; O bag urban Spring 2018;12; sacca interna zip O bag;OBAGS033;TES01;017;blu navy;blue navy;
