347;cedro;cedro;
485;atlantic;atlantic;
486;pink;pink;
038;grafite;graphite;
076;rosso;red;
483;champagne;champagne;
026;blu cobalto;cobalt blue;
422;sangria;sangria;
075;rosa smoke;smoke pink;
484;coral;coral;
479;skyway;skyway;
084;testa di moro;dark brown;
055;nero;black;
008;bianco;white;
422;sangria;sangria;
076;rosso;red;
347;cedro;cedro;
347;cedro;cedro;
485;atlantic;atlantic;
486;pink;pink;
038;grafite;graphite;
076;rosso;red;
483;champagne;champagne;
026;blu cobalto;cobalt blue;
422;sangria;sangria;
075;rosa smoke;smoke pink;
484;coral;coral;
479;skyway;skyway;
084;testa di moro;dark brown;
371;latte;milk;
055;nero;black;
076;rosso;red;
422;sangria;sangria;
347;cedro;cedro;
347;cedro;cedro;
038;grafite;graphite;
076;rosso;red;
026;blu cobalto;cobalt blue;
422;sangria;sangria;
075;rosa smoke;smoke pink;
479;skyway;skyway;
084;testa di moro;dark brown;
371;latte;milk;
479;skyway;skyway;
075;rosa smoke;rose smoke;
347;cedro;cedro;
026;blu cobalto;cobalt blue;
422;sangria;sangria;
075;rosa smoke;smoke pink;
479;skyway;skyway;
076;rosso;red;
084;testa di moro;dark brown;
347;cedro;cedro;
422;sangria;sangria;
075;rosa smoke;smoke pink;
479;skyway;skyway;
076;rosso;red;
026;blu cobalto;cobalt blue;
075;rosa smoke;rose smoke;
371;latte;milk;
483;champagne;champagne;
479;skyway;skyway;
347;cedro;cedro;
483;champagne;champagne;
026;blu cobalto;cobalt blue;
422;sangria;sangria;
075;rosa smoke;smoke pink;
479;skyway;skyway;
078;sabbia;sand;
076;rosso;red;
371;latte;milk;
026;blu cobalto;cobalt blue;
479;skyway;skyway;
055;nero;black;
017;blu navy;navy blue;
347;cedro;cedro;
076;rosso;red;
026;blu cobalto;cobalt blue;
017;blu navy;navy blue;
055;nero;black;
371;latte;milk;
422;sangria;sangria;
479;skyway;skyway;
347;cedro;cedro;
076;rosso;red;
483;champagne;champagne;
026;blu cobalto;cobalt blue;
422;sangria;sangria;
075;rosa smoke;smoke pink;
479;skyway;skyway;
084;testa di moro;dark brown;
347;cedro;cedro;
076;rosso;red;
483;champagne;champagne;
026;blu cobalto;cobalt blue;
075;rosa smoke;smoke pink;
479;skyway;skyway;
055;nero;black;
371;latte;milk;
422;sangria;sangria;
017;blu navy;navy blue;
026;blu cobalto;cobalt blue;
055;nero;black;
036;giallo;yellow;
076;rosso;red;
371;latte;milk;
017;blu navy;navy blue;
008;bianco;white;
489;rosso/navy/bluette;red/navy blue/bright blue;
500;bluette/blu navy/bianco;bright blue/navy blue/white;
084;testa di moro;dark brown;
028;ecru;ecru;
103;denim;denim;
018;bordeaux;burgundy;
055;nero;black;
069;porpora;purple;
108;terracotta;terracotta;
010;blu - grigio;blue - grey;
106;kiwi - polvere;kiwi - dusty blue;
104;terracotta - phard;terracotta - blush pink;
105;grigio - avorio;grey - ivory;
098;blu-blu;blue - blue;
107;salmone - terracotta;salmon - terracotta;
099;grigio-tortora;grey - dove-grey;
100;kiwi-verde;kiwi - green;
038;grafite;graphite;
135;peltro;pewter;
005;avio;air force blue;
154;ciliegia;cherry;
063;ottanio;teal;
079;senape;mustard;
009;blu;blue;
039;grigio;grey;
108;terracotta;terracotta;
006;avorio;ivory;
087;taupe;taupe;
122;salmone - blu;salmon - blue;
123;blu - polvere;blue - dust blue;
124;glicine - grigio;wisteria - grey;
102;denim - cuoio;denim - leather;
054;naturale;natural;
086;tortora;dove-grey;
055;nero;black;
084;testa di moro;dark brown;
039;grigio;grey;
048;mattone;brick;
089;verde;green;
009;blu;blue;
036;giallo;yellow;
076;rosso;red;
054;naturale;natural;
055;nero;black;
084;testa di moro;dark brown;
063;ottanio;teal;
089;verde;green;
183;viola;violet;
055;nero;black;
018;bordeaux;burgundy;
006;avorio;ivory;
087;taupe;taupe;
039;grigio;grey;
084;testa di moro;dark brown;
055;nero;black;
084;testa di moro;dark brown;
093;vino;wine;
055;nero;black;
475;bianco/rosso/blu;white/red/blue;
479;skyway;skyway;
017;blu navy;navy blue;
076;rosso;red;
072;rosa;pink;
483;champagne;champagne;
055;nero;black;
221;cognac;cognac;
479;skyway - argento;skyway - silver;
075;rosa smoke - oro;rose smoke - gold;
075;rosa smoke;rose smoke;
215;crema;cream;
479;skyway;skyway;
026;blu cobalto - argento;cobalt blue - silver;
055;nero - argento;black - silver;
076;rosso - argento;red - silver;
422;sangria - argento;sangria - silver;
371;latte - argento;milk - silver;
036;giallo - argento;yellow - silver;
017;blu navy - argento;navy blue - silver;
483;champagne - oro;champagne - gold;
010;blu - grigio;blue - grey;
106;kiwi - polvere;kiwi - dusty blue;
104;terracotta - phard;terracotta - blush pink;
105;grigio - avorio;grey - ivory;
088;turchese;turquoise;
038;grafite;graphite;
135;peltro;pewter;
006;avorio;ivory;
087;taupe;taupe;
039;grigio;grey;
084;testa di moro;dark brown;
341;dark multicolor;dark multicolor;
010;blu - grigio;blue - grey;
321;bordeaux - blu;burgundy - blue;
037;giallo - verde;yellow - green;
049;mattone - beige;brick - beige;
084;testa di moro;dark brown;
035;ghiaccio;ice;
055;nero;black;
084;testa di moro;dark brown;
035;ghiaccio;ice;
089;verde;green;
039;grigio;grey;
048;mattone;brick;
054;naturale;natural;
055;nero;black;
008;bianco;white;
347;cedro;cedro;
026;cobalto;cobalt blue;
345;corallo;coral;
009;blu;blue;
036;giallo;yellow;
076;rosso;red;
126;cielo-rosa;sky blue - pink;
