XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OBAGB001-EVS00-347; O bag spring 2018;4; scocca O bag;OBAGB001;EVS00;347;cedro;cedro;
CodeBarre;OBAGB001-EVS00-485; O bag spring 2018;4; scocca O bag;OBAGB001;EVS00;485;atlantic;atlantic;
CodeBarre;OBAGB001-EVS00-486; O bag spring 2018;4; scocca O bag;OBAGB001;EVS00;486;pink;pink;
CodeBarre;OBAGB001-EVS00-038; O bag spring 2018;4; scocca O bag;OBAGB001;EVS00;038;grafite;graphite;
CodeBarre;OBAGB001-EVS00-076; O bag spring 2018;4; scocca O bag;OBAGB001;EVS00;076;rosso;red;
CodeBarre;OBAGB001-EVS00-483; O bag spring 2018;4; scocca O bag;OBAGB001;EVS00;483;champagne;champagne;
CodeBarre;OBAGB001-EVS00-026; O bag spring 2018;4; scocca O bag;OBAGB001;EVS00;026;blu cobalto;cobalt blue;
CodeBarre;OBAGB001-EVS00-422; O bag spring 2018;4; scocca O bag;OBAGB001;EVS00;422;sangria;sangria;
CodeBarre;OBAGB001-EVS00-075; O bag spring 2018;4; scocca O bag;OBAGB001;EVS00;075;rosa smoke;smoke pink;
CodeBarre;OBAGB001-EVS00-484; O bag spring 2018;4; scocca O bag;OBAGB001;EVS00;484;coral;coral;
CodeBarre;OBAGB001-EVS00-479; O bag spring 2018;4; scocca O bag;OBAGB001;EVS00;479;skyway;skyway;
CodeBarre;OBAGB001-EVS00-084; O bag spring 2018;4; scocca O bag;OBAGB001;EVS00;084;testa di moro;dark brown;
CodeBarre;OBAGB001-EVS00-055; O bag spring 2018;5; scocca O bag;OBAGB001;EVS00;055;nero;black;
CodeBarre;OBAGB001-EVS00-008; O bag spring 2018;5; scocca O bag;OBAGB001;EVS00;008;bianco;white;
