XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OBAGB408-TESY1-017; O bag .capsule ecobag 19;6; scocca completo;OBAGB408;TESY1;017;blu navy;blue navy;
CodeBarre;OBAGB408-TESY1-133; O bag .capsule ecobag 19;6; scocca completo;OBAGB408;TESY1;133;grigio chiaro;light grey;
CodeBarre;OBAGB408-TESY1-055; O bag .capsule ecobag 19;6; scocca completo;OBAGB408;TESY1;055;nero;black;
CodeBarre;OBAGB408-TESY1-347; O bag .capsule ecobag 19;6; scocca completo;OBAGB408;TESY1;347;cedro;cedro;
CodeBarre;OBAGB408-TESY1-076; O bag .capsule ecobag 19;6; scocca completo;OBAGB408;TESY1;076;rosso;red;
CodeBarre;OBAGB408-TESY1-227; O bag .capsule ecobag 19;6; scocca completo;OBAGB408;TESY1;227;bianco/nero;white/black;
CodeBarre;OBAGB408-TESY1-607; O bag .capsule ecobag 19;6; scocca completo;OBAGB408;TESY1;607;fucsia fluo/nero;fucsia fluo/black;
CodeBarre;OBAGB408-TESY1-233; O bag .capsule ecobag 19;6; scocca completo;OBAGB408;TESY1;233;bluette/nero;bluette/black;
CodeBarre;OBAGB408-TESY1-606; O bag .capsule ecobag 19;6; scocca completo;OBAGB408;TESY1;606;giallo fluo/nero;yellow fluo/black;
CodeBarre;OBAGB413-TESW2-227; O bag .capsule ecobag 19;7; scocca completo O bag 50;OBAGB413;TESW2;227;bianco/nero;white/black;
CodeBarre;OBAGB413-TESW2-607; O bag .capsule ecobag 19;7; scocca completo O bag 50;OBAGB413;TESW2;607;fucsia fluo/nero;fucsia fluo/black;
CodeBarre;OBAGB413-TESW2-233; O bag .capsule ecobag 19;7; scocca completo O bag 50;OBAGB413;TESW2;233;bluette/nero;bluette/black;
