XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OCLKDT01-MES07-055; O bag fall 19;2; meccanismo numeri;OCLKDT01;MES07;055;nero;black;
CodeBarre;OCLKDT01-MES07-055; O bag fall 19;2; meccanismo numeri;OCLKDT01;MES07;055;nero;black;
CodeBarre;OCLKDT01-MES07-008; O bag fall 19;2; meccanismo numeri;OCLKDT01;MES07;008;bianco;white;
CodeBarre;OCLKDT01-MES07-008; O bag fall 19;2; meccanismo numeri;OCLKDT01;MES07;008;bianco;white;
CodeBarre;OCLKST02-MTS01-061; O bag fall 19;3; cinturino luxury bangle;OCLKST02;MTS01;061;oro;gold;
CodeBarre;OCLKST02-MTS01-061; O bag fall 19;3; cinturino luxury bangle;OCLKST02;MTS01;061;oro;gold;
CodeBarre;OCLKST02-MTS01-004; O bag fall 19;3; cinturino luxury bangle;OCLKST02;MTS01;004;argento;silver;
CodeBarre;OCLKST02-MTS01-004; O bag fall 19;3; cinturino luxury bangle;OCLKST02;MTS01;004;argento;silver;
CodeBarre;OCLKST01-MAS39-055; O bag fall 19;4; cinturino active;OCLKST01;MAS39;055;nero;black;
CodeBarre;OCLKST01-MAS39-463; O bag fall 19;4; cinturino active;OCLKST01;MAS39;463;blu maya;blue maya;
CodeBarre;OCLKST01-MAS39-008; O bag fall 19;4; cinturino active;OCLKST01;MAS39;008;bianco;white;
CodeBarre;OCLKST01-MAS39-462; O bag fall 19;4; cinturino active;OCLKST01;MAS39;462;arancio;orange;
CodeBarre;OCLKST01-MAS39-032; O bag fall 19;4; cinturino active;OCLKST01;MAS39;032;fluo giallo;fluo yellow;
