8050846063310;OBAGB048-EVS00-018;p006-1-01;bordeaux;bordeaux;spring 2019 presentation/capsule xmas 18 + double.txt; scocca O bag sheen
8050846063297;OBAGB048-EVS00-389;p006-1-02;silver;silver;spring 2019 presentation/capsule xmas 18 + double.txt; scocca O bag sheen
8050846066939;OBAGB048-EVS00-055;p006-1-03;nero;black;spring 2019 presentation/capsule xmas 18 + double.txt; scocca O bag sheen
8050846063303;OBAGB048-EVS00-559;p006-1-04;rame;rame;spring 2019 presentation/capsule xmas 18 + double.txt; scocca O bag sheen
CodeBarre;OBAGB451-ECS07-018;p007-1-01;bordeaux;bordeaux;spring 2019 presentation/capsule xmas 18 + double.txt; scocca completo O bag
CodeBarre;OBAGB451-ECS07-541;p007-1-02;verde bosco;forest green;spring 2019 presentation/capsule xmas 18 + double.txt; scocca completo O bag
CodeBarre;OBAGB451-ECS07-055;p007-1-03;nero;black;spring 2019 presentation/capsule xmas 18 + double.txt; scocca completo O bag
CodeBarre;OBAGB451-ECS07-559;p007-1-04;rame;rame;spring 2019 presentation/capsule xmas 18 + double.txt; scocca completo O bag
CodeBarre;HLESGC00-PLS14-055;p010-1-01;nero;black;spring 2019 presentation/capsule xmas 18 + double.txt; Manico corto opaco +
CodeBarre;HLESGC00-PLS14-559;p010-1-02;rame;rame;spring 2019 presentation/capsule xmas 18 + double.txt; Manico corto opaco +
CodeBarre;HLESGC00-PLS14-055;p010-1-03;nero;black;spring 2019 presentation/capsule xmas 18 + double.txt; Manico corto opaco +
CodeBarre;HLESGC00-PLS14-541;p010-1-04;verde bosco;forest green;spring 2019 presentation/capsule xmas 18 + double.txt; Manico corto opaco +
CodeBarre;HLESGC00-PLS14-541;p010-1-05;verde bosco;forest green;spring 2019 presentation/capsule xmas 18 + double.txt; Manico corto opaco +
CodeBarre;HLESGC00-PLS14-018;p010-1-06;bordeaux;bordeaux;spring 2019 presentation/capsule xmas 18 + double.txt; Manico corto opaco +
CodeBarre;HLESGC00-PLS14-018;p010-1-07;bordeaux;bordeaux;spring 2019 presentation/capsule xmas 18 + double.txt; Manico corto opaco +
