XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
XXX;;;;;;;;;
XXX;ATTENTION au format des colonnes !;;;;;;;;
XXX;Avant toute edition, changer les formats des colonnes suivantes :;;;;;;;;
XXX;Code Barre :;; numerique sans decimales;;;;;;
XXX;Code Couleur :;;" numerique format ""000""";;;;;;
XXX;;;;;;;;;
8050846006386;OBAGB001-EVS00-422; O bag spring 19;6; scocca O bag XL extralight;OBAGB001;EVS00;422;sangria;sangria
8050846062788;OBAGB001-EVS00-588; O bag spring 19;6; scocca O bag XL extralight;OBAGB001;EVS00;588;orchidea;orchid
8050846006423;OBAGB001-EVS00-486; O bag spring 19;6; scocca O bag XL extralight;OBAGB001;EVS00;486;pink;pink
8050846062801;OBAGB001-EVS00-589; O bag spring 19;6; scocca O bag XL extralight;OBAGB001;EVS00;589;lily grey;lily grey
8050846062795;OBAGB001-EVS00-587; O bag spring 19;6; scocca O bag XL extralight;OBAGB001;EVS00;587;celery green;celery green
8050846006393;OBAGB001-EVS00-026; O bag spring 19;6; scocca O bag XL extralight;OBAGB001;EVS00;26;cobalto;cobalt blue
8050846042100;OBAGB001-EVS00-048; O bag spring 19;6; scocca O bag XL extralight;OBAGB001;EVS00;48;mattone;brick
8050450217581;OBAGB001-EVS00-075; O bag spring 19;6; scocca O bag XL extralight;OBAGB001;EVS00;75;rosa smoke;rosa smoke
8050846051539;OBAGB001-EVS00-224; O bag spring 19;6; scocca O bag XL extralight;OBAGB001;EVS00;224;verde inglese;english green
8051770308621;OBAGB001-EVS00-088; O bag spring 19;6; scocca O bag XL extralight;OBAGB001;EVS00;88;turchese;turquoise
8050846006379;OBAGB001-EVS00-347; O bag spring 19;6; scocca O bag XL extralight;OBAGB001;EVS00;347;cedro;cedro
8058983595916;OBAGB001-EVS00-119; O bag spring 19;6; scocca O bag XL extralight;OBAGB001;EVS00;119;fragola;strawberry
8050846062818;OBAGB001-EVS00-602; O bag spring 19;7; scocca O bag XL extralight;OBAGB001;EVS00;602;viola scuro;dark violet
