017;blu navy;navy blue;
026;cobalto;cobalto;
075;rosa smoke;rosa smoke;
347;cedro;cedro;
371;latte;milk;
484;corallo;coral;
026;cobalto;cobalto;
075;rosa smoke;rosa smoke;
347;cedro;cedro;
371;latte;milk;
484;corallo;coral;
371;latte;milk;
484;coral;coral;
026;cobalto;cobalto;
486;pink;pink;
009;bue;blue;
484;coral;coral;
075;rosa smoke;rosa smoke;
347;cedro;cedro;
009;bue;blue;
484;coral;coral;
075;rosa smoke;rosa smoke;
347;cedro;cedro;
558;coral/pink;coral/pink;
580;pink/cedro;pink/cedro;
581;cedro/cobalto;cedro/cobalto;
578;atlantic/cedro;atlantic/cedro;
579;skyway/coral;skyway/coral;
026;cobalto;cobalto;
075;rosa smoke;rosa smoke;
371;latte;milk;
484;coral;coral;
075;rosa smoke;rosa smoke;
486;pink;pink;
347;cedro;cedro;
371;latte;milk;
026;cobalto;cobalto;
479;skyway;skyway;
485;atlantic;atlantic;
