CodeBarre;OBAGB001-EVS44-017;p004-1-01;blu navy;navy blue;.capsule farfalle 2018; scocca O bag eva
CodeBarre;OBAGB001-EVS44-026;p004-1-02;cobalto;cobalto;.capsule farfalle 2018; scocca O bag eva
CodeBarre;OBAGB001-EVS44-075;p004-1-03;rosa smoke;rosa smoke;.capsule farfalle 2018; scocca O bag eva
CodeBarre;OBAGB001-EVS44-347;p004-1-04;cedro;cedro;.capsule farfalle 2018; scocca O bag eva
CodeBarre;OBAGB001-EVS44-371;p004-1-05;latte;milk;.capsule farfalle 2018; scocca O bag eva
CodeBarre;OBAGB001-EVS44-484;p004-1-06;corallo;coral;.capsule farfalle 2018; scocca O bag eva
CodeBarre;OBAGB002-EVS44-026;p005-1-01;cobalto;cobalto;.capsule farfalle 2018; scocca O bag mini eva
CodeBarre;OBAGB002-EVS44-075;p005-1-02;rosa smoke;rosa smoke;.capsule farfalle 2018; scocca O bag mini eva
CodeBarre;OBAGB002-EVS44-347;p005-1-03;cedro;cedro;.capsule farfalle 2018; scocca O bag mini eva
CodeBarre;OBAGB002-EVS44-371;p005-1-04;latte;milk;.capsule farfalle 2018; scocca O bag mini eva
CodeBarre;OBAGB002-EVS44-484;p005-1-05;corallo;coral;.capsule farfalle 2018; scocca O bag mini eva
CodeBarre;HLESGC00-ROS10-371;p008-1-01;latte;milk;.capsule farfalle 2018; manico corto corda cotone
CodeBarre;HLESGC00-ROS10-484;p008-1-02;coral;coral;.capsule farfalle 2018; manico corto corda cotone
CodeBarre;HLESGC00-ROS10-026;p008-1-03;cobalto;cobalto;.capsule farfalle 2018; manico corto corda cotone
CodeBarre;HLESGC00-ROS10-486;p008-1-04;pink;pink;.capsule farfalle 2018; manico corto corda cotone
CodeBarre;OBAGS001-TESV7-009;p012-1-01;bue;blue;.capsule farfalle 2018; sacca interna zip O bag
CodeBarre;OBAGS001-TESV7-484;p012-1-02;coral;coral;.capsule farfalle 2018; sacca interna zip O bag
CodeBarre;OBAGS001-TESV7-075;p012-1-03;rosa smoke;rosa smoke;.capsule farfalle 2018; sacca interna zip O bag
CodeBarre;OBAGS001-TESV7-347;p012-1-04;cedro;cedro;.capsule farfalle 2018; sacca interna zip O bag
CodeBarre;OBAGS001-TESV7-009;p013-1-01;bue;blue;.capsule farfalle 2018; sacca interna zip O bag mini
CodeBarre;OBAGS001-TESV7-484;p013-1-02;coral;coral;.capsule farfalle 2018; sacca interna zip O bag mini
CodeBarre;OBAGS001-TESV7-075;p013-1-03;rosa smoke;rosa smoke;.capsule farfalle 2018; sacca interna zip O bag mini
CodeBarre;OBAGS001-TESV7-347;p013-1-04;cedro;cedro;.capsule farfalle 2018; sacca interna zip O bag mini
CodeBarre;ACCEC017-EVS06-558;p016-1-01;coral/pink;coral/pink;.capsule farfalle 2018; accessorio portachiavi
CodeBarre;ACCEC017-EVS06-580;p016-1-02;pink/cedro;pink/cedro;.capsule farfalle 2018; accessorio portachiavi
CodeBarre;ACCEC017-EVS06-581;p016-1-03;cedro/cobalto;cedro/cobalto;.capsule farfalle 2018; accessorio portachiavi
CodeBarre;ACCEC017-EVS06-578;p016-1-04;atlantic/cedro;atlantic/cedro;.capsule farfalle 2018; accessorio portachiavi
CodeBarre;ACCEC017-EVS06-579;p016-1-05;skyway/coral;skyway/coral;.capsule farfalle 2018; accessorio portachiavi
CodeBarre;ACCEC019-EVS34-026;p017-1-01;cobalto;cobalto;.capsule farfalle 2018; accessorio portachiavi
CodeBarre;ACCEC019-EVS34-075;p017-1-02;rosa smoke;rosa smoke;.capsule farfalle 2018; accessorio portachiavi
CodeBarre;ACCEC019-EVS34-371;p017-1-03;latte;milk;.capsule farfalle 2018; accessorio portachiavi
CodeBarre;ACCEC021-EVS00-484;p018-1-01;coral;coral;.capsule farfalle 2018; accessorio farfalla eva
CodeBarre;ACCEC021-EVS00-075;p018-1-02;rosa smoke;rosa smoke;.capsule farfalle 2018; accessorio farfalla eva
CodeBarre;ACCEC021-EVS00-486;p018-1-03;pink;pink;.capsule farfalle 2018; accessorio farfalla eva
CodeBarre;ACCEC021-EVS00-347;p018-1-04;cedro;cedro;.capsule farfalle 2018; accessorio farfalla eva
CodeBarre;ACCEC021-EVS00-371;p018-1-05;latte;milk;.capsule farfalle 2018; accessorio farfalla eva
CodeBarre;ACCEC021-EVS00-026;p018-1-06;cobalto;cobalto;.capsule farfalle 2018; accessorio farfalla eva
CodeBarre;ACCEC021-EVS00-479;p018-1-07;skyway;skyway;.capsule farfalle 2018; accessorio farfalla eva
CodeBarre;ACCEC021-EVS00-485;p018-1-08;atlantic;atlantic;.capsule farfalle 2018; accessorio farfalla eva
CodeBarre;ATSEN008-LGS01-004;p019-1-01;argento;argento;.capsule farfalle 2018; rivetti completi (100pz)
