Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag flash beach 2018;4; scocca O bag EVA;OBAGB001;EVS28;371;;latte;milk;
 O bag flash beach 2018;4; scocca O bag EVA;OBAGB001;EVS28;485;;atlantic;atlantic;
 O bag flash beach 2018;4; scocca O bag EVA;OBAGB001;EVS28;486;;pink;pink;
 O bag flash beach 2018;4; scocca O bag EVA;OBAGB001;EVS28;078;;sabbia;sand;
 O bag flash beach 2018;4; scocca O bag EVA;OBAGB001;EVS28;484;;coral;coral;
 O bag flash beach 2018;4; scocca O bag EVA;OBAGB001;EVS28;347;;cedro;cedro;
 O bag flash beach 2018;5; scocca O bag bali EVA;OBAGB030;EVS27;486;;pink;pink;
 O bag flash beach 2018;5; scocca O bag bali EVA;OBAGB030;EVS27;026;;cobalto;cobalt blue;
 O bag flash beach 2018;5; scocca O bag bali EVA;OBAGB030;EVS27;484;;coral;coral;
 O bag flash beach 2018;5; scocca O bag bali EVA;OBAGB030;EVS27;479;;skyway;skyway;
 O bag flash beach 2018;5; scocca O bag bali EVA;OBAGB030;EVS27;347;;cedro;cedro;
 O bag flash beach 2018;6; scocca O bag EVA;OBAGB001;EVS00;485;;atlantic;atlantic;
 O bag flash beach 2018;6; scocca O bag EVA;OBAGB001;EVS00;486;;pink;pink;
 O bag flash beach 2018;6; scocca O bag EVA;OBAGB001;EVS00;484;;coral;coral;
 O bag flash beach 2018;6; scocca O bag EVA;OBAGB001;EVS00;347;;cedro;cedro;
 O bag flash beach 2018;7; scocca O bag mini EVA;OBAGB002;EVS00;484;;coral;coral;
 O bag flash beach 2018;7; scocca O bag mini EVA;OBAGB002;EVS00;347;;cedro;cedro;
 O bag flash beach 2018;7; scocca O bag mini EVA;OBAGB002;EVS00;485;;atlantic;atlantic;
 O bag flash beach 2018;7; scocca O bag mini EVA;OBAGB002;EVS00;486;;pink;pink;
 O bag flash beach 2018;8; scocca O bag ‘50 EVA;OBAGB009;EVS00;485;;atlantic;atlantic;
 O bag flash beach 2018;8; scocca O bag ‘50 EVA;OBAGB009;EVS00;347;;cedro;cedro;
