CodeBarre;OBAGB206-EVS00-371;p004-1-01;latte;milk;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; scocca sotto O pocket
CodeBarre;OBAGB206-EVS00-055;p004-1-02;nero;black;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; scocca sotto O pocket
CodeBarre;OBAGB206-EVS00-076;p004-1-03;rosso;red;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; scocca sotto O pocket
CodeBarre;SHOUC106-ECS81-055;p008-1-01;nero;black;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; tracolle catena con fascia
CodeBarre;SHOUC106-ECS81-076;p008-2-01;rosso;red;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; tracolle catena con fascia
CodeBarre;OBAGP006-ECS57-227;p012-1-01;bianco/nero;white - black;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; O pocket pattina ecopelle
CodeBarre;OBAGP006-ECS58-227;p012-2-01;bianco/nero;white - black;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; O pocket pattina ecopelle
CodeBarre;OBAGP006-ECS59-530;p013-1-01;rosso/nero;red/black;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; O pocket pattina ecopelle
CodeBarre;OBAGP006-ECS60-227;p013-2-01;bianco/nero;white - black;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; O pocket pattina ecopelle
CodeBarre;OBAGP006-ECS80-055;p014-1-01;nero;black;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; O pocket pattina ecopelle
CodeBarre;OBAGP006-TESH7-076;p014-2-01;rosso;red;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; O pocket pattina ecopelle
CodeBarre;OBAGP006-TESO8-055;p015-1-01;nero;black;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; O pocket pattina ecopelle
CodeBarre;ACCEP013-ECS79-055;p018-1-01;nero;black;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; accessori portamonete
CodeBarre;ACCEP013-ECS79-076;p018-1-02;rosso;red;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; accessori portamonete
CodeBarre;ACCEO005-ECS61-076;p018-2-01;rosso;red;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; accessori pendaglio topolino
CodeBarre;ACCEO005-ECS61-061;p018-2-02;oro;gold;summer 2018 presentation/catalogo capsule xmas 2017 - Disney collection.txt; accessori pendaglio topolino
