Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag Christmas capsule 2017;04; scocca sotto O pocket;OBAGB206;EVS00;371;;latte;milk;
 O bag Christmas capsule 2017;04; scocca sotto O pocket;OBAGB206;EVS00;055;;nero;black;
 O bag Christmas capsule 2017;04; scocca sotto O pocket;OBAGB206;EVS00;076;;rosso;red;
 O bag Christmas capsule 2017;08; tracolle catena con fascia;SHOUC106;ECS81;055;;nero;black;
 O bag Christmas capsule 2017;08; tracolle catena con fascia;SHOUC106;ECS81;076;;rosso;red;
 O bag Christmas capsule 2017;12; O pocket pattina ecopelle;OBAGP006;ECS57;227;;bianco/nero;white - black;
 O bag Christmas capsule 2017;12; O pocket pattina ecopelle;OBAGP006;ECS58;227;;bianco/nero;white - black;
 O bag Christmas capsule 2017;13; O pocket pattina ecopelle;OBAGP006;ECS59;530;;rosso/nero;red/black;
 O bag Christmas capsule 2017;13; O pocket pattina ecopelle;OBAGP006;ECS60;227;;bianco/nero;white - black;
 O bag Christmas capsule 2017;14; O pocket pattina ecopelle;OBAGP006;ECS80;055;;nero;black;
 O bag Christmas capsule 2017;14; O pocket pattina ecopelle;OBAGP006;TESH7;076;;rosso;red;
 O bag Christmas capsule 2017;15; O pocket pattina ecopelle;OBAGP006;TESO8;055;;nero;black;
 O bag Christmas capsule 2017;18; accessori portamonete;ACCEP013;ECS79;055;;nero;black;
 O bag Christmas capsule 2017;18; accessori portamonete;ACCEP013;ECS79;076;;rosso;red;
 O bag Christmas capsule 2017;18; accessori pendaglio topolino;ACCEO005;ECS61;076;;rosso;red;
 O bag Christmas capsule 2017;18; accessori pendaglio topolino;ACCEO005;ECS61;061;;oro;gold;
