Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag summer 2018 .continuativo carry over;04; scocca O bag;OBAGB001;EVS00;371;;latte;milk;
 O bag summer 2018 .continuativo carry over;04; scocca O bag;OBAGB001;EVS00;133;;grigio chiaro;light grey;
 O bag summer 2018 .continuativo carry over;04; scocca O bag;OBAGB001;EVS00;017;;blu navy;navy blue;
 O bag summer 2018 .continuativo carry over;04; scocca O bag;OBAGB001;EVS00;158;;vulcano;volcano;
 O bag summer 2018 .continuativo carry over;04; scocca O bag;OBAGB001;EVS00;078;;sabbia;sand;
 O bag summer 2018 .continuativo carry over;04; scocca O bag;OBAGB001;EVS00;071;;roccia;rock;
 O bag summer 2018 .continuativo carry over;04; scocca O bag;OBAGB001;EVS00;055;;nero;black;
 O bag summer 2018 .continuativo carry over;05; scocca O bag mini;OBAGB002;EVS00;371;;latte;milk;
 O bag summer 2018 .continuativo carry over;05; scocca O bag mini;OBAGB002;EVS00;133;;grigio chiaro;light grey;
 O bag summer 2018 .continuativo carry over;05; scocca O bag mini;OBAGB002;EVS00;017;;blu navy;navy blue;
 O bag summer 2018 .continuativo carry over;05; scocca O bag mini;OBAGB002;EVS00;158;;vulcano;volcano;
 O bag summer 2018 .continuativo carry over;05; scocca O bag mini;OBAGB002;EVS00;078;;sabbia;sand;
 O bag summer 2018 .continuativo carry over;05; scocca O bag mini;OBAGB002;EVS00;071;;roccia;rock;
 O bag summer 2018 .continuativo carry over;05; scocca O bag mini;OBAGB002;EVS00;055;;nero;black;
 O bag summer 2018 .continuativo carry over;06; scocca O bag ‘50;OBAGB009;EVS00;133;;grigio chiaro;light grey;
 O bag summer 2018 .continuativo carry over;06; scocca O bag ‘50;OBAGB009;EVS00;371;;latte;milk;
 O bag summer 2018 .continuativo carry over;06; scocca O bag ‘50;OBAGB009;EVS00;017;;blu navy;navy blue;
 O bag summer 2018 .continuativo carry over;06; scocca O bag ‘50;OBAGB009;EVS00;078;;sabbia;sand;
 O bag summer 2018 .continuativo carry over;06; scocca O bag ‘50;OBAGB009;EVS00;071;;roccia;rock;
 O bag summer 2018 .continuativo carry over;06; scocca O bag ‘50;OBAGB009;EVS00;055;;nero;black;
 O bag summer 2018 .continuativo carry over;06; scocca O bag ‘50;OBAGB009;EVS00;158;;vulcano;volcano;
 O bag summer 2018 .continuativo carry over;07; scocca O city;OBAGB010;EVS00;017;;blu navy;navy blue;
 O bag summer 2018 .continuativo carry over;07; scocca O city;OBAGB010;EVS00;158;;vulcano;volcano;
 O bag summer 2018 .continuativo carry over;07; scocca O city;OBAGB010;EVS00;078;;sabbia;sand;
 O bag summer 2018 .continuativo carry over;07; scocca O city;OBAGB010;EVS00;071;;roccia;rock;
 O bag summer 2018 .continuativo carry over;07; scocca O city;OBAGB010;EVS00;055;;nero;black;
 O bag summer 2018 .continuativo carry over;07; scocca O city;OBAGB010;EVS00;371;;latte;milk;
 O bag summer 2018 .continuativo carry over;08; scocca O moon;OBAGB016;EVS00;017;;blu navy;navy blue;
 O bag summer 2018 .continuativo carry over;08; scocca O moon;OBAGB016;EVS00;158;;vulcano;volcano;
 O bag summer 2018 .continuativo carry over;08; scocca O moon;OBAGB016;EVS00;055;;nero;black;
 O bag summer 2018 .continuativo carry over;08; scocca O moon;OBAGB016;EVS00;078;;sabbia;sand;
 O bag summer 2018 .continuativo carry over;08; scocca O moon;OBAGB016;EVS00;371;;latte;milk;
 O bag summer 2018 .continuativo carry over;08; scocca O moon;OBAGB016;EVS00;071;;roccia;rock;
 O bag summer 2018 .continuativo carry over;09; scocca O moon light;OBAGB017;EVS00;017;;blu navy;navy blue;
