Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag summer 2018;4; scocca O bag EVA;OBAGB001;EVS00;026;;cobalto;cobalt blue;
 O bag summer 2018;4; scocca O bag EVA;OBAGB001;EVS00;075;;rosa smoke;rose smoke;
 O bag summer 2018;4; scocca O bag EVA;OBAGB001;EVS00;076;;rosso;red;
 O bag summer 2018;4; scocca O bag EVA;OBAGB001;EVS00;484;;coral;coral;
 O bag summer 2018;4; scocca O bag EVA;OBAGB001;EVS00;479;;skyway;skyway;
 O bag summer 2018;4; scocca O bag EVA;OBAGB001;EVS00;422;;sangria;sangria;
 O bag summer 2018;4; scocca O bag EVA;OBAGB001;EVS00;483;;champagne;champagne;
 O bag summer 2018;4; scocca O bag EVA;OBAGB001;EVS00;485;;atlantic;atlantic;
 O bag summer 2018;4; scocca O bag EVA;OBAGB001;EVS00;084;;testa di moro;dark brown;
 O bag summer 2018;4; scocca O bag EVA;OBAGB001;EVS00;038;;grafite;graphite;
 O bag summer 2018;4; scocca O bag EVA;OBAGB001;EVS00;486;;pink;pink;
 O bag summer 2018;4; scocca O bag EVA;OBAGB001;EVS00;347;;cedro;cedro;
 O bag summer 2018;5; scocca O bag EVA;OBAGB001;EVS00;485;;atlantic;atlantic;
 O bag summer 2018;5; scocca O bag EVA;OBAGB001;EVS00;076;;rosso;red;
 O bag summer 2018;5; scocca O bag mini EVA;OBAGB002;EVS00;026;;cobalto;cobalt blue;
 O bag summer 2018;5; scocca O bag mini EVA;OBAGB002;EVS00;075;;rosa smoke;rose smoke;
 O bag summer 2018;5; scocca O bag mini EVA;OBAGB002;EVS00;422;;sangria;sangria;
 O bag summer 2018;5; scocca O bag mini EVA;OBAGB002;EVS00;479;;skyway;skyway;
 O bag summer 2018;5; scocca O bag mini EVA;OBAGB002;EVS00;483;;champagne;champagne;
 O bag summer 2018;5; scocca O bag mini EVA;OBAGB002;EVS00;484;;coral;coral;
 O bag summer 2018;5; scocca O bag mini EVA;OBAGB002;EVS00;084;;testa di moro;dark brown;
