XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OBAGB001-EVS23-055; O bag Christmas capsule 2017;4; scocca O bag EVA;OBAGB001;EVS23;055;nero;black;
CodeBarre;OBAGB001-EVS23-371; O bag Christmas capsule 2017;4; scocca O bag EVA;OBAGB001;EVS23;371;latte;milk;
CodeBarre;OBAGB001-EVS23-076; O bag Christmas capsule 2017;4; scocca O bag EVA;OBAGB001;EVS23;076;rosso;red;
CodeBarre;OBAGB001-EVS23-055; O bag Christmas capsule 2017;4; scocca O bag EVA;OBAGB001;EVS23;055;nero;black;
CodeBarre;OBAGB001-EVS23-371; O bag Christmas capsule 2017;4; scocca O bag EVA;OBAGB001;EVS23;371;latte;milk;
CodeBarre;OBAGB001-EVS23-076; O bag Christmas capsule 2017;4; scocca O bag EVA;OBAGB001;EVS23;076;rosso;red;
CodeBarre;OBAGB002-EVS24-055; O bag Christmas capsule 2017;5; scocca O bag mini EVA;OBAGB002;EVS24;055;nero;black;
CodeBarre;OBAGB002-EVS24-371; O bag Christmas capsule 2017;5; scocca O bag mini EVA;OBAGB002;EVS24;371;latte;milk;
CodeBarre;OBAGB002-EVS24-076; O bag Christmas capsule 2017;5; scocca O bag mini EVA;OBAGB002;EVS24;076;rosso;red;
CodeBarre;OBAGB002-EVS24-371; O bag Christmas capsule 2017;5; scocca O bag mini EVA;OBAGB002;EVS24;371;latte;milk;
CodeBarre;OBAGB002-EVS24-076; O bag Christmas capsule 2017;5; scocca O bag mini EVA;OBAGB002;EVS24;076;rosso;red;
CodeBarre;OBAGB002-EVS24-055; O bag Christmas capsule 2017;5; scocca O bag mini EVA;OBAGB002;EVS24;055;nero;black;
CodeBarre;OBAGB016-EVS23-055; O bag Christmas capsule 2017;6; scocca O moon EVA;OBAGB016;EVS23;055;nero;black;
