Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag Christmas capsule 2017;4; scocca O bag EVA;OBAGB001;EVS22;055;;nero;black;
 O bag Christmas capsule 2017;4; scocca O bag EVA;OBAGB001;EVS22;371;;latte;milk;
 O bag Christmas capsule 2017;4; scocca O bag EVA;OBAGB001;EVS22;076;;rosso;red;
 O bag Christmas capsule 2017;4; scocca O bag EVA;OBAGB001;EVS23;055;;nero;black;
 O bag Christmas capsule 2017;4; scocca O bag EVA;OBAGB001;EVS23;371;;latte;milk;
 O bag Christmas capsule 2017;4; scocca O bag EVA;OBAGB001;EVS23;076;;rosso;red;
 O bag Christmas capsule 2017;5; scocca O bag mini EVA;OBAGB002;EVS22;055;;nero;black;
 O bag Christmas capsule 2017;5; scocca O bag mini EVA;OBAGB002;EVS22;371;;latte;milk;
 O bag Christmas capsule 2017;5; scocca O bag mini EVA;OBAGB002;EVS22;076;;rosso;red;
 O bag Christmas capsule 2017;5; scocca O bag mini EVA;OBAGB002;EVS24;371;;latte;milk;
 O bag Christmas capsule 2017;5; scocca O bag mini EVA;OBAGB002;EVS24;076;;rosso;red;
 O bag Christmas capsule 2017;5; scocca O bag mini EVA;OBAGB002;EVS24;055;;nero;black;
 O bag Christmas capsule 2017;6; scocca O moon EVA;OBAGB016;EVS22;055;;nero;black;
 O bag Christmas capsule 2017;6; scocca O moon EVA;OBAGB016;EVS22;371;;latte;milk;
 O bag Christmas capsule 2017;6; scocca O moon EVA;OBAGB016;EVS22;076;;rosso;red;
 O bag Christmas capsule 2017;6; scocca O moon EVA;OBAGB016;EVS23;055;;nero;black;
 O bag Christmas capsule 2017;6; scocca O moon EVA;OBAGB016;EVS23;371;;latte;milk;
 O bag Christmas capsule 2017;6; scocca O moon EVA;OBAGB016;EVS23;076;;rosso;red;
 O bag Christmas capsule 2017;10; doppio manico extraslim;HLESHH00;ECS78;055;;nero;black;
 O bag Christmas capsule 2017;10; doppio manico extraslim;HLESHH00;ECS78;076;;rosso;red;
 O bag Christmas capsule 2017;11; doppio manico extraslim;HLESHH00;ECS78;008;;bianco;white;
 O bag Christmas capsule 2017;12; tracolla 80/120 tessuto;SHOUGB00;TESO7;527;;nero/oro;black/gold;
 O bag Christmas capsule 2017;16; sacca interna zip O bag;OBAGS001;TES98;055;;nero;black;
 O bag Christmas capsule 2017;16; sacca interna zip O bag;OBAGS001;TES98;076;;rosso;red;
 O bag Christmas capsule 2017;16; sacca interna zip O bag;OBAGS001;TES98;008;;bianco;white;
 O bag Christmas capsule 2017;17; sacca interna zip O bag mini;OBAGS002;TES98;055;;nero;black;
 O bag Christmas capsule 2017;17; sacca interna zip O bag mini;OBAGS002;TES98;076;;rosso;red;
 O bag Christmas capsule 2017;17; sacca interna zip O bag mini;OBAGS002;TES98;008;;bianco;white;
