009;blu;blue
055;nero;black
004;argento;silver
061;oro;gold
072;rosa;pink
080;salvia;sage
043;lilla;lilac
002;amaranto;amaranth
137;bluette;bluette
006;avorio;ivory
143;neve;snow
055;nero;black
008;bianco;white
081;smeraldo;emerald
077;rubino;ruby
061;oro;gold
004;argento;silver
008;bianco;white
137;bluette;bluette
008;bianco;white
061;oro;gold
055;nero;black
004;argento;silver
055;nero;black
076;rosso;red
017;blu navy;blue navy
133;grigio chiaro;light grey
054;naturale;natural
084;testa di moro;dark brown
055;nero;black
017;blu navy;blue navy
008;bianco;white
018;bordeaux;bordeaux
004;argento;silver
004;argento;silver
061;oro;gold
061;oro;gold
004;argento;silver
004;argento;silver
061;oro;gold
061;oro;gold
004;argento;silver
061;oro;gold
184;trasparente;trasparente
