XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OCLKDC01-MES06-009; O bag .capsule xmas 18;6; meccanismo O click shift;OCLKDC01;MES06;009;blu;blue;
CodeBarre;OCLKDC01-MES06-055; O bag .capsule xmas 18;6; meccanismo O click shift;OCLKDC01;MES06;055;nero;black;
CodeBarre;OCLKDC01-MES06-004; O bag .capsule xmas 18;6; meccanismo O click shift;OCLKDC01;MES06;004;argento;silver;
CodeBarre;OCLKDC01-MES06-061; O bag .capsule xmas 18;6; meccanismo O click shift;OCLKDC01;MES06;061;oro;gold;
CodeBarre;OCLKDC01-MES06-072; O bag .capsule xmas 18;6; meccanismo O click shift;OCLKDC01;MES06;072;rosa;pink;
CodeBarre;OCLKDC01-MES06-080; O bag .capsule xmas 18;6; meccanismo O click shift;OCLKDC01;MES06;080;salvia;sage;
CodeBarre;OCLKDC01-MES06-043; O bag .capsule xmas 18;6; meccanismo O click shift;OCLKDC01;MES06;043;lilla;lilac;
CodeBarre;OCLKDC01-MES06-002; O bag .capsule xmas 18;6; meccanismo O click shift;OCLKDC01;MES06;002;amaranto;amaranth;
CodeBarre;OCLKDC01-MES09-137; O bag .capsule xmas 18;18; meccanismo O click shift;OCLKDC01;MES09;137;bluette;bluette;
CodeBarre;OCLKDC01-MES09-006; O bag .capsule xmas 18;18; meccanismo O click shift;OCLKDC01;MES09;006;avorio;ivory;
CodeBarre;OCLKDC01-MES09-143; O bag .capsule xmas 18;18; meccanismo O click shift;OCLKDC01;MES09;143;neve;snow;
CodeBarre;OCLKDC01-MES09-055; O bag .capsule xmas 18;18; meccanismo O click shift;OCLKDC01;MES09;055;nero;black;
CodeBarre;OCLKDC01-MES09-008; O bag .capsule xmas 18;18; meccanismo O click shift;OCLKDC01;MES09;008;bianco;white;
