XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OBAGB049-TES20-003; O bag summer '19;6; scocca O maxi;OBAGB049;TES20;003;arancione;orange;
CodeBarre;OBAGB049-TES20-044; O bag summer '19;6; scocca O maxi;OBAGB049;TES20;044;lime;lime;
CodeBarre;OBAGB049-TES20-008; O bag summer '19;6; scocca O maxi;OBAGB049;TES20;008;bianco;white;
CodeBarre;OBAGB049-TES20-055; O bag summer '19;6; scocca O maxi;OBAGB049;TES20;055;nero;black;
CodeBarre;OBAGB049-TES20-026; O bag summer '19;6; scocca O maxi;OBAGB049;TES20;026;cobalto;cobalt;
CodeBarre;OBAGB049-TES20-078; O bag summer '19;6; scocca O maxi;OBAGB049;TES20;078;sabbia;sand;
CodeBarre;OBAGB049-TES20-183; O bag summer '19;6; scocca O maxi;OBAGB049;TES20;183;viola;violet;
CodeBarre;OBAGB049-TES20-600; O bag summer '19;6; scocca O maxi;OBAGB049;TES20;600;cipria metal;pink metal;
CodeBarre;OBAGB050-TES20-003; O bag summer '19;7; scocca O smooth mini;OBAGB050;TES20;003;arancione;orange;
CodeBarre;OBAGB050-TES20-044; O bag summer '19;7; scocca O smooth mini;OBAGB050;TES20;044;lime;lime;
CodeBarre;OBAGB050-TES20-008; O bag summer '19;7; scocca O smooth mini;OBAGB050;TES20;008;bianco;white;
CodeBarre;OBAGB050-TES20-055; O bag summer '19;7; scocca O smooth mini;OBAGB050;TES20;055;nero;black;
CodeBarre;OBAGB050-TES20-026; O bag summer '19;7; scocca O smooth mini;OBAGB050;TES20;026;cobalto;cobalt;
CodeBarre;OBAGB050-TES20-078; O bag summer '19;7; scocca O smooth mini;OBAGB050;TES20;078;sabbia;sand;
CodeBarre;OBAGB050-TES20-183; O bag summer '19;7; scocca O smooth mini;OBAGB050;TES20;183;viola;violet;
