'010;023;OBAGB002-EVS51-371;-;-;CORPS O BAG MINI EVA COMPOUND IMPRIME À FLEURS PEINT À LA MAIN;UNICA
'001;002;HLESD000-ECS35-371;1_spring 2020/spring 2020.txt;p032-1-04;ANSES LONGUES ADAPTABLES EN FAUX CUIR BASIC;UNICA
'002;034;HLESGC00-ECS04-038;1_spring 2020/spring 2020.txt;p038-1-03;ANSES COURTES EN FAUX CUIR POMPON;UNICA
'001;002;HLESD000-ECS35-371;catalogo Spring 19.txt;p024-2-04;ANSES LONGUES ADAPTABLES EN FAUX CUIR BASIC;UNICA
'002;034;HLESGC00-ECS04-038;fall 2018 presentation/catalogo fall 2018.txt;p028-1-06;ANSES COURTES EN FAUX CUIR POMPON;UNICA
'001;002;HLESD000-ECS35-371;fall 2019 presentation_/catalogo fall 19.txt;p026-1-02;ANSES LONGUES ADAPTABLES EN FAUX CUIR BASIC;UNICA
'002;034;HLESGC00-ECS04-038;fall 2019 presentation_/catalogo fall 19.txt;p033-1-03;ANSES COURTES EN FAUX CUIR POMPON;UNICA
'001;002;HLESD000-ECS35-371;spring 2018 presentation/catalogo spring 2018.txt;p020-1-06;ANSES LONGUES ADAPTABLES EN FAUX CUIR BASIC;UNICA
'002;034;HLESGC00-ECS04-038;spring 2018 presentation/catalogo spring 2018.txt;p038-1-01;ANSES COURTES EN FAUX CUIR POMPON;UNICA
'001;002;HLESD000-ECS35-371;summer 2018 presentation/catalogo summer 2018.txt;p019-1-03;ANSES LONGUES ADAPTABLES EN FAUX CUIR BASIC;UNICA
'002;034;HLESGC00-ECS04-038;summer 2018 presentation/catalogo summer 2018.txt;p039-1-01;ANSES COURTES EN FAUX CUIR POMPON;UNICA
'001;002;HLESD000-ECS35-371;summer 2019 presentation/catalogo summer_beach 2019.txt;p036-1-06;ANSES LONGUES ADAPTABLES EN FAUX CUIR BASIC;UNICA
'002;034;HLESGC00-ECS04-038;summer 2019 presentation/catalogo summer_beach 2019.txt;p048-1-05;ANSES COURTES EN FAUX CUIR POMPON;UNICA
'002;034;HLESGC00-ECS04-038;winter 2018 presentation/catalogo winter 18.txt;p029-1-01;ANSES COURTES EN FAUX CUIR POMPON;UNICA
