Inconnu;7 items=7 ; Document Date doc. Client dest. DEBIT FRAIS DE TRANSPORT 2019 50 949 29/04/2019 VEND.N.I.ART.41 L.427/93 UE CodeBarre CodeBarre CodeBarre;page inconnue
fall 2018 presentation/catalogo 2018 continuativo.txt;25 items=4 3 4 2 12 ; SHOUC006-MTS01-004 SHOUC006-MTS01-061 SHOUC006-MTS01-348 SHOUC006-MTS01-004 OBAGS001-TES01-008 OBAGS001-TES01-055 OBAGS001-TES01-054 OBAGS002-TES01-008 OBAGS002-TES01-055 OBAGS002-TES01-054 OBAGS002-TES01-009 OBAGS121-TES01-054 OBAGS121-TES01-055 OCLKS007-SIS01-008-M OCLKS007-SIS01-008-S OCLKS007-SIS01-133-M OCLKS007-SIS01-133-S OCLKS007-SIS01-071-M OCLKS007-SIS01-071-S OCLKS007-SIS01-059-M OCLKS007-SIS01-059-S OCLKS007-SIS01-055-M OCLKS007-SIS01-055-S OCLKS007-SIS01-086-M OCLKS007-SIS01-086-S;21,32,33,36,50
fall 2019 presentation_/catalogo continuativo fall 19.txt;29 items=2 7 2 12 3 3 ; HLESG000-ROS00-008 HLESG000-ROS00-054 OBAGS001-TES01-008 OBAGS001-TES01-054 OBAGS001-TES01-055 OBAGS002-TES01-008 OBAGS002-TES01-055 OBAGS002-TES01-009 OBAGS002-TES01-054 OBAGS121-TES01-054 OBAGS121-TES01-055 OCLKS007-SIS01-008-M OCLKS007-SIS01-008-S OCLKS007-SIS01-055-M OCLKS007-SIS01-055-S OCLKS007-SIS01-059-M OCLKS007-SIS01-059-S OCLKS007-SIS01-071-M OCLKS007-SIS01-071-S OCLKS007-SIS01-086-M OCLKS007-SIS01-086-S OCLKS007-SIS01-133-M OCLKS007-SIS01-133-S HLESGC00-ROS00-008 HLESGC00-ROS00-055 HLESGC00-ROS00-009 SHOUC006-MTS01-004 SHOUC006-MTS01-061 SHOUC006-MTS01-348;15,28,29,36,171,191
fall 2019 presentation_/catalogo fall 19.txt;7 items=3 4 ; OBAGS001-TES01-008 OBAGS001-TES01-055 OBAGS001-TES01-054 OBAGS002-TES01-008 OBAGS002-TES01-055 OBAGS002-TES01-009 OBAGS002-TES01-054;82,89
spring 2018 presentation/catalogo spring 2018 continuativo.txt;18 items=2 4 12 ; HLESG000-ROS00-008 HLESG000-ROS00-054 OBAGS002-TES01-008 OBAGS002-TES01-055 OBAGS002-TES01-054 OBAGS002-TES01-009 OCLKS007-SIS01-008-M OCLKS007-SIS01-008-S OCLKS007-SIS01-133-M OCLKS007-SIS01-133-S OCLKS007-SIS01-071-M OCLKS007-SIS01-071-S OCLKS007-SIS01-059-M OCLKS007-SIS01-059-S OCLKS007-SIS01-055-M OCLKS007-SIS01-055-S OCLKS007-SIS01-086-M OCLKS007-SIS01-086-S;34,35,50
spring 2018 presentation/catalogo spring 2018.txt;2 items=2 ; OBAGS121-TES01-054 OBAGS121-TES01-055;122
spring 2019 presentation/catalogo Continuativo_Spring_19.txt;29 items=2 3 3 7 2 12 ; HLESG000-ROS00-008 HLESG000-ROS00-054 HLESGC00-ROS00-008 HLESGC00-ROS00-055 HLESGC00-ROS00-009 SHOUC006-MTS01-004 SHOUC006-MTS01-061 SHOUC006-MTS01-348 OBAGS001-TES01-008 OBAGS001-TES01-054 OBAGS001-TES01-055 OBAGS002-TES01-008 OBAGS002-TES01-055 OBAGS002-TES01-009 OBAGS002-TES01-054 OBAGS121-TES01-054 OBAGS121-TES01-055 OCLKS007-SIS01-008-M OCLKS007-SIS01-008-S OCLKS007-SIS01-055-M OCLKS007-SIS01-055-S OCLKS007-SIS01-059-M OCLKS007-SIS01-059-S OCLKS007-SIS01-071-M OCLKS007-SIS01-071-S OCLKS007-SIS01-086-M OCLKS007-SIS01-086-S OCLKS007-SIS01-133-M OCLKS007-SIS01-133-S;19,20,22,32,34,46
spring 2019 presentation/catalogo Spring 19 continuativo.txt;25 items=4 3 4 2 12 ; SHOUC006-MTS01-004 SHOUC006-MTS01-061 SHOUC006-MTS01-348 SHOUC006-MTS01-004 OBAGS001-TES01-008 OBAGS001-TES01-055 OBAGS001-TES01-054 OBAGS002-TES01-008 OBAGS002-TES01-055 OBAGS002-TES01-054 OBAGS002-TES01-009 OBAGS121-TES01-054 OBAGS121-TES01-055 OCLKS007-SIS01-008-M OCLKS007-SIS01-008-S OCLKS007-SIS01-133-M OCLKS007-SIS01-133-S OCLKS007-SIS01-071-M OCLKS007-SIS01-071-S OCLKS007-SIS01-059-M OCLKS007-SIS01-059-S OCLKS007-SIS01-055-M OCLKS007-SIS01-055-S OCLKS007-SIS01-086-M OCLKS007-SIS01-086-S;21,32,33,36,50
spring 2019 presentation/catalogo capsule San Valentino 19.txt;2 items=2 ; OCLKS007-SIS01-055-M OCLKS007-SIS01-055-S;23
spring 2019 presentation/catalogo capsule matelasseÌe 19.txt;3 items=3 ; OBAGS002-TES01-008 OBAGS002-TES01-055 OBAGS002-TES01-009;14
summer 2018 presentation/catalogo summer 2018 continuativo.txt;25 items=4 3 4 2 12 ; SHOUC006-MTS01-004 SHOUC006-MTS01-061 SHOUC006-MTS01-348 SHOUC006-MTS01-004 OBAGS001-TES01-008 OBAGS001-TES01-055 OBAGS001-TES01-054 OBAGS002-TES01-008 OBAGS002-TES01-055 OBAGS002-TES01-054 OBAGS002-TES01-009 OBAGS121-TES01-054 OBAGS121-TES01-055 OCLKS007-SIS01-008-M OCLKS007-SIS01-008-S OCLKS007-SIS01-133-M OCLKS007-SIS01-133-S OCLKS007-SIS01-071-M OCLKS007-SIS01-071-S OCLKS007-SIS01-059-M OCLKS007-SIS01-059-S OCLKS007-SIS01-055-M OCLKS007-SIS01-055-S OCLKS007-SIS01-086-M OCLKS007-SIS01-086-S;24,40,41,46,64
summer 2018 presentation/catalogo summer 2018.txt;2 items=2 ; OBAGS121-TES01-054 OBAGS121-TES01-055;112
summer 2018 presentation/catalogo xmas 2017.txt;4 items=4 ; OCLKS007-SIS01-008-M OCLKS007-SIS01-008-S OCLKS007-SIS01-055-M OCLKS007-SIS01-055-S;30
