'001;010;8051770309055;HLESG000-ROS00-055;ANSES LONGUES EN CORDE;UNICA;25;7,390;184,75;ANSES/CORDE     ;BLACK;L    ;nero;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'002;011;8050846082465;HLESGC19-EVS54-017;ANSES COURTES EVA COMPOUND EFFET BAMBOU + GOUTTE;UNICA;3;15,190;45,57; ; ; ;blu navy;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'003;018;8050846004306;OBAGA000-ECS42-017;ACCESSOIRE CLIP EN FAUX CUIR OPAQUE + ARGENT;UNICA;6;3,600;21,60;CLIP            ;NAVY ;0;blu navy;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'004;009;8050846029026;OBAGB038-EVS00-371;CORPS O BAG SAND EVA COMPOUND;UNICA;2;16,670;33,34;OSAND           ;LATTE;0;latte;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'005;005;8050846079861;OBAGB054-EVS00-017;CORPS O BAG TULIP EVA COMPOUND;UNICA;5;15,560;77,80; ; ; ;blu navy;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'006;012;CodeBarre;OBRCF003-SIS01-002-S;O BRACELET FLOWER BIG EN SILICONE;S;3;4,560;13,68;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'007;022;CodeBarre;OBRCF003-SIS01-006-S;O BRACELET FLOWER BIG EN SILICONE;S;3;4,560;13,68;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'008;004;CodeBarre;OBRCF003-SIS01-008-S;O BRACELET FLOWER BIG EN SILICONE;S;3;4,560;13,68;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'009;006;CodeBarre;OBRCF003-SIS01-012-S;O BRACELET FLOWER BIG EN SILICONE;S;3;4,560;13,68;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'010;013;CodeBarre;OBRCF003-SIS01-013-S;O BRACELET FLOWER BIG EN SILICONE;S;3;4,560;13,68;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
'011;001;CodeBarre;OBRCF003-SIS01-018-S;O BRACELET FLOWER BIG EN SILICONE;S;3;4,560;13,68;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0001110.txt;FAT;15/05/2019;722,78;684,78;2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334 | 2019 02/OBAG/1146 227334
