'002;009;OBAGT001-TESE8-227;-;-;REVERS O BAG EN TISSU NYC FANTAISIE GEOMETRIQUE;UNICA
'009;4202221000-P.Iva-036;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU NYC LOSANGES-347;-;-;UNICA;347
'013;4202229090-OBAGB001-076;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG EN TISSU NYC LOSANGES-347;-;-;UNICA;347
'010;4202221000-OBAGB001-422;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS-36;-;-;UNICA;36
'008;6307909810-SOFEA-076;CORPS O BAG EVA COMPOUND + CLOUS PYRAMIDES-422;-;-;UNICA;422
'011;4202229090-OBAGS002-008;CORPS O BAG EVA COMPOUND + CLOUS PYRAMIDES-422;-;-;UNICA;422
'012;4202229090-OBAGS002-076;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU NYC LOSANGES-76;-;-;UNICA;76
'003;010;OBAGB002-EVS18-055;fall 2019 presentation_/catalogo fall 19.txt;p010-1-01;CORPS O BAG MINI EVA COMPOUND TEXTURE À CHEVRONS;UNICA
'001;008;OBAGB001-EVS17-055;spring 2018 presentation/catalogo spring 2018.txt;p005-1-01;CORPS O BAG EVA COMPOUND + CLOUS PYRAMIDES;UNICA
'003;010;OBAGB002-EVS18-055;spring 2018 presentation/catalogo spring 2018.txt;p007-1-02;CORPS O BAG MINI EVA COMPOUND TEXTURE À CHEVRONS;UNICA
'006;013;OBAGB002-EVS18-347;spring 2018 presentation/catalogo spring 2018.txt;p007-1-05;CORPS O BAG MINI EVA COMPOUND TEXTURE À CHEVRONS;UNICA
