Index;Ligne Commande;EAN13;Ref. O bag;Libelle O bag;Taille O bag;Quantite;PU ;Prix;Ref. Valmag;Couleur Valmag;Taille Valmag;Couleur O bag;Nom fichier;Type fichier;Date fichier;Total Facture;Total Produit;Reference Document
'001;001;8058983596654;HLESX200-ECS00-028;ANSES LONGUES EXTRA SLIM GOUTTE EN FAUX CUIR;UNICA;20;9,000;180,00;ANSES/PLA.GOUTXS;DOVE ;L    ;ecru;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'002;031;8058983596678;HLESX200-ECS00-084;ANSES LONGUES EXTRA SLIM GOUTTE EN FAUX CUIR;UNICA;16;9,000;144,00;ANSES/PLA.GOUTXS;TESTA;L    ;testa di moro;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'003;003;CodeBarre;HLESX200-ECS00-158;ANSES LONGUES EXTRA SLIM GOUTTE EN FAUX CUIR;UNICA;10;9,000;90,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'004;004;CodeBarre;HLESX200-ECS00-221;ANSES LONGUES EXTRA SLIM GOUTTE EN FAUX CUIR;UNICA;10;9,000;90,00;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'005;005;8056099170058;HLESX800-ECS00-008;ANSES COURTES EXTRA SLIM GOUTTE EN FAUX CUIR;UNICA;10;7,800;78,00;ANSES/PLA.GOUTXS;WHITE;S    ;bianco;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'006;007;8050846001558;HLESX800-ECS00-009;ANSES COURTES EXTRA SLIM GOUTTE EN FAUX CUIR;UNICA;10;7,800;78,00;ANSES/PLA.GOUTXS;BLUE ;S    ;blu;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'007;006;8058983596883;HLESX800-ECS00-028;ANSES COURTES EXTRA SLIM GOUTTE EN FAUX CUIR;UNICA;10;7,800;78,00;ANSES/PLA.GOUTXS;DOVE ;S    ;ecru;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'008;008;8058983596906;HLESX800-ECS00-084;ANSES COURTES EXTRA SLIM GOUTTE EN FAUX CUIR;UNICA;10;7,800;78,00;ANSES/PLA.GOUTXS;TESTA;S    ;testa di moro;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'009;009;CodeBarre;HLESX800-ECS00-158;ANSES COURTES EXTRA SLIM GOUTTE EN FAUX CUIR;UNICA;8;7,800;62,40;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'010;010;8050450218335;OBAGB002-EVS00-017;CORPS O BAG MINI EVA COMPOUND;UNICA;8;14,400;115,20;MINIOBODY       ;NAVY ;0;blu navy;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'011;011;8050846006546;OBAGB002-EVS00-347;CORPS O BAG MINI EVA COMPOUND;UNICA;4;14,400;57,60;MINIOBODY       ;CEDRO;0;cedro;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'012;012;8050846016736;OBAGB002-EVS00-484;CORPS O BAG MINI EVA COMPOUND;UNICA;4;14,400;57,60;MINIOBODY       ;CORAL;0;coral;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'013;013;8050846062832;OBAGB002-EVS00-587;CORPS O BAG MINI EVA COMPOUND;UNICA;4;14,400;57,60; ; ; ;celery green;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'014;014;8050846062825;OBAGB002-EVS00-588;CORPS O BAG MINI EVA COMPOUND;UNICA;4;14,400;57,60; ; ; ;orchidea;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'015;015;8050846062849;OBAGB002-EVS00-589;CORPS O BAG MINI EVA COMPOUND;UNICA;4;14,400;57,60; ; ; ;lily grey;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'016;002;CodeBarre;OBAGK400-CAS03-227;PACKAGING GARANTIE CORPS PAPIER IMPRIME;UNICA;4;0,010;0,04;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'017;030;CodeBarre;OBAGK400-CAS03-227;PACKAGING GARANTIE CORPS PAPIER IMPRIME;UNICA;4;0,010;0,04;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'018;027;CodeBarre;OBAGK400-CAS03-227;PACKAGING GARANTIE CORPS PAPIER IMPRIME;UNICA;4;0,010;0,04;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'019;026;CodeBarre;OBAGK400-CAS03-227;PACKAGING GARANTIE CORPS PAPIER IMPRIME;UNICA;8;0,010;0,08;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'020;025;CodeBarre;OBAGK400-CAS03-227;PACKAGING GARANTIE CORPS PAPIER IMPRIME;UNICA;4;0,010;0,04;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'021;024;CodeBarre;OBAGK400-CAS03-227;PACKAGING GARANTIE CORPS PAPIER IMPRIME;UNICA;4;0,010;0,04;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
'022;029;CodeBarre;OBAGK700-TESI8-008-M;PACKAGING SACHETS EN TISSU TNT;M;8;0,320;2,56;CodeBarre;CodeBarre;CodeBarre;CodeBarre;FAT_2019_50_0000445.txt;FAT;18/02/2019;1699,40;1661,4;2017 RI/OBAG/16895 284086
