             ;EXPORT CODE EAN13, le 14/12/2018 18:17:27;;;;
 ;;;;;
             ;CRITERES T/U/B/L/S (Tous/Unique/Bornes/Liste/Sauf);;;;
 ;;;;;
             ;NUMERO DE SOCIETE      U       1;;;;
             ;COLLECTION             T;;;;
             ;CODE FOURNISSEUR ART   T;;;;
             ;DEPARTEMENT            T;;;;
             ;FAMILLE                T;;;;
             ;SOUS FAMILLE           T;;;;
             ;MODELE                 T;;;;
             ;MATIERE                T;;;;
             ;GRILLE TAILLE          T;;;;
             ;MARQUE/DIVISION        T;;;;
             ;THEME                  T;;;;
             ;DATE DE CREATION       T;;;;
             ;DATE DE MISE A JOUR    T;;;;
             ;NUMERO DE COMMANDE     T;;;;
             ;DATE                   T;;;;
             ;CODE EAN               T;;;;
             ;ENVOYER PAR MAIL A     T;;;;
Export EAN13 vers D:\VALMAG4\IMP\EAN13EXP.TXT;;;;;
3000020000032;FULL         ;0CS01           ;     ;L    ;15/05/2013
3000020000025;FULL         ;0CS01           ;     ;M    ;15/05/2013
3000020000018;FULL         ;0CS01           ;     ;S    ;15/05/2013
3000020000049;FULL         ;0CS01           ;     ;XL   ;15/05/2013
3000020000001;FULL         ;0CS01           ;     ;XS   ;15/05/2013
3000210000033;FULL         ;0CS16           ;     ;L    ;15/05/2013
3000210000026;FULL         ;0CS16           ;     ;M    ;15/05/2013
3000210000019;FULL         ;0CS16           ;     ;S    ;15/05/2013
3000210000040;FULL         ;0CS16           ;     ;XL   ;15/05/2013
3000210000002;FULL         ;0CS16           ;     ;XS   ;15/05/2013
8050538599196;FULL         ;ABATJOUROJOY    ;ANTHR;0;11/11/2017
8050538599189;FULL         ;ABATJOUROJOY    ;AUBER;0;11/11/2017
8050538599219;FULL         ;ABATJOUROJOY    ;BLUE ;0;11/11/2017
3006100431000;FULL         ;ABATJOUROJOY    ;VERT ;0;11/11/2017
8050538599233;FULL         ;ABATJOUROJOY    ;VERT ;0;11/11/2017
8050538599202;FULL         ;ABATJOUROJOY    ;WHITE;0;11/11/2017
8050538599226;FULL         ;ABATJOUROJOY    ;YELLO;0;11/11/2017
8050846043183;FULL         ;ANSCHAI+BANDOULI;BDX  ;0;27/11/2018
8050846043169;FULL         ;ANSCHAI+BANDOULI;BLACK;0;27/11/2018
8050846043190;FULL         ;ANSCHAI+BANDOULI;BRONZ;0;27/11/2018
8050846045675;FULL         ;ANSCHAI+BANDOULI;SLVG ;0;27/11/2018
8050846021594;FULL         ;ANSE/TUB/ANNEAUX;APPLE;0;18/05/2018
8050846014480;FULL         ;ANSE/TUB/ANNEAUX;APPLE;0;20/05/2018
8050846014534;FULL         ;ANSE/TUB/ANNEAUX;ATLAN;0;20/05/2018
8050846035089;FULL         ;ANSE/TUB/ANNEAUX;BDX  ;0;11/09/2018
8050846002586;FULL         ;ANSE/TUB/ANNEAUX;BLACK;0;11/09/2018
8050846035096;FULL         ;ANSE/TUB/ANNEAUX;BOSCO;0;11/09/2018
8050846005358;FULL         ;ANSE/TUB/ANNEAUX;CHAMP;0;16/02/2018
8050846004443;FULL         ;ANSE/TUB/ANNEAUX;COBAL;0;16/02/2018
8050846014053;FULL         ;ANSE/TUB/ANNEAUX;CORAL;0;20/05/2018
3006390494006;FULL         ;ANSE/TUB/ANNEAUX;NAVY ;0;16/02/2018
8050846014909;FULL         ;ANSE/TUB/ANNEAUX;NAVY ;0;11/09/2018
8050846034358;FULL         ;ANSE/TUB/ANNEAUX;PDPBL;0;11/09/2018
8050846002593;FULL         ;ANSE/TUB/ANNEAUX;RED  ;0;16/02/2018
8050846014398;FULL         ;ANSE/TUB/ANNEAUX;SAND ;0;20/05/2018
8050846002609;FULL         ;ANSE/TUB/ANNEAUX;SANGR;0;23/05/2018
8050846014084;FULL         ;ANSE/TUB/ANNEAUX;VICCO;0;23/05/2018
8050846002623;FULL         ;ANSE/TUB/ANNEAUX;WHITE;0;16/02/2018
8050846002616;FULL         ;ANSE/TUB/ANNEAUX;YELLO;0;16/02/2018
3005871093004;FULL         ;ANSEPLAGOUT/BAND;BLUAC;0;14/10/2017
8050538590742;FULL         ;ANSEPLAGOUT/BAND;OPTWH;0;14/10/2017
3005870394003;FULL         ;ANSEPLAGOUT/BAND;RED  ;0;14/10/2017
3005100267008;FULL         ;ANSES/ALLONGEABL;APPLE;0;25/05/2018
3005101569002;FULL         ;ANSES/ALLONGEABL;ATLAN;0;22/05/2018
8056300454793;FULL         ;ANSES/ALLONGEABL;BDX  ;0;02/11/2016
3005100273009;FULL         ;ANSES/ALLONGEABL;BDX  ;0;02/11/2016
8056300454786;FULL         ;ANSES/ALLONGEABL;BLUE ;0;02/11/2016
3005100284005;FULL         ;ANSES/ALLONGEABL;BLUE ;0;02/11/2016
3005100742000;FULL         ;ANSES/ALLONGEABL;CORAL;0;22/05/2018
8056300454809;FULL         ;ANSES/ALLONGEABL;DOVE ;0;02/11/2016
3005100314009;FULL         ;ANSES/ALLONGEABL;DOVE ;0;02/11/2016
3005100744004;FULL         ;ANSES/ALLONGEABL;ECBLA;0;02/11/2016
8056300454731;FULL         ;ANSES/ALLONGEABL;ECBLA;0;02/11/2016
3005100743007;FULL         ;ANSES/ALLONGEABL;ECNAT;0;02/11/2016
8056300454755;FULL         ;ANSES/ALLONGEABL;ECNAT;0;02/11/2016
3005100745001;FULL         ;ANSES/ALLONGEABL;ECTES;0;02/11/2016
8056300454748;FULL         ;ANSES/ALLONGEABL;ECTES;0;02/11/2016
3005100366008;FULL         ;ANSES/ALLONGEABL;MOSS ;0;02/11/2016
8056300454762;FULL         ;ANSES/ALLONGEABL;MOSS ;0;02/11/2016
8056300454779;FULL         ;ANSES/ALLONGEABL;PHARD;0;02/11/2016
3005100871007;FULL         ;ANSES/ALLONGEABL;PHARD;0;02/11/2016
3005101313001;FULL         ;ANSES/ALLONGEABL;SANGR;0;22/05/2018
8056099170041;FULL         ;ANSES/ANGULAIREX;BLUE ;S    ;20/04/2017
8056099170027;FULL         ;ANSES/ANGULAIREX;RED  ;S    ;20/04/2017
8056099170010;FULL         ;ANSES/ANGULAIREX;YELL ;S    ;20/04/2017
3004321087037;FULL         ;ANSES/ATTACHES  ;BIBLU;L    ;28/02/2017
3004321087020;FULL         ;ANSES/ATTACHES  ;BIBLU;M    ;28/02/2017
3004321087013;FULL         ;ANSES/ATTACHES  ;BIBLU;S    ;28/02/2017
3004321087044;FULL         ;ANSES/ATTACHES  ;BIBLU;XL   ;28/02/2017
3004321087006;FULL         ;ANSES/ATTACHES  ;BIBLU;XS   ;28/02/2017
3004321087051;FULL         ;ANSES/ATTACHES  ;BIBLU;XXL  ;28/02/2017
3004321087068;FULL         ;ANSES/ATTACHES  ;BIBLU;XXS  ;28/02/2017
3004321084036;FULL         ;ANSES/ATTACHES  ;BITER;L    ;28/02/2017
3004321084029;FULL         ;ANSES/ATTACHES  ;BITER;M    ;28/02/2017
3004321084012;FULL         ;ANSES/ATTACHES  ;BITER;S    ;28/02/2017
3004321084043;FULL         ;ANSES/ATTACHES  ;BITER;XL   ;28/02/2017
3004321084005;FULL         ;ANSES/ATTACHES  ;BITER;XS   ;28/02/2017
3004321084050;FULL         ;ANSES/ATTACHES  ;BITER;XXL  ;28/02/2017
3004321084067;FULL         ;ANSES/ATTACHES  ;BITER;XXS  ;28/02/2017
3004320276005;FULL         ;ANSES/ATTACHES  ;BLACK;0;07/01/2016
3004320276036;FULL         ;ANSES/ATTACHES  ;BLACK;L    ;10/11/2016
