Produit;Code piece;Couleur;Taille;Libelle;Quantité;Prix unitaire;Montant
Boutique;;BLAGNAC
Ref. facture;;IT - ITALIA 
Total facture;;3445,66
Total produits;;3384,66
 
Cumul montant;;3384.66
Etat courant = 'fichierTraite'
ANOMALIE MONTANT;;3384.66;3384.66
 
HLESCE01;ECS07;133;ANSES DOUBLE CHAÎNE EN « T » EN FAUX CUIR EFFET GRIFFÉ;UNICA;8;10,600;84,80
OBAGB001;EVS00;038;CORPS O BAG EVA COMPOUND;UNICA;10;14,400;144,00
OBAGB001;EVS00;389;CORPS O BAG EVA COMPOUND;UNICA;8;14,400;115,20
OBAGB002;EVS00;075;CORPS O BAG MINI EVA COMPOUND;UNICA;10;14,400;144,00
OBAGB002;EVS00;389;CORPS O BAG MINI EVA COMPOUND;UNICA;10;14,400;144,00
OBAGB033;EVS00;017;CORPS O BAG URBAN EVA COMPOUND;UNICA;3;14,160;42,48
OBAGB206;EVS00;038;CORPS INFÉRIEUR O POCKET EVA COMPOUND;UNICA;5;4,800;24,00
OBAGT002;LAS34;086;REVERS O BAG MINI EN LAINE RASÉE;UNICA;2;9,660;19,32
OBAGB001;EVS00;024;CORPS O BAG EVA COMPOUND;UNICA;8;14,400;115,20
OBAGB001;EVS00;541;CORPS O BAG EVA COMPOUND;UNICA;6;14,400;86,40
OBAGB002;EVS00;559;CORPS O BAG MINI EVA COMPOUND;UNICA;8;14,400;115,20
OBAGB033;EVS00;078;CORPS O BAG URBAN EVA COMPOUND;UNICA;3;14,160;42,48
 
OBAGB033;EVS00;371;CORPS O BAG URBAN EVA COMPOUND;UNICA;1;14,160;14,16
OBAGB034;EVS00;024;CORPS O BAG GLAM EVA COMPOUND;UNICA;2;11,880;23,76
OBAGB034;EVS00;071;CORPS O BAG GLAM EVA COMPOUND;UNICA;3;11,880;35,64
OBAGB206;EVS00;024;CORPS INFÉRIEUR O POCKET EVA COMPOUND;UNICA;5;4,800;24,00
OBAGB206;EVS00;559;CORPS INFÉRIEUR O POCKET EVA COMPOUND;UNICA;4;4,800;19,20
