Produit;Code piece;Couleur;Taille;Libelle;Quantité;Prix unitaire;Montant;;;
PZ;Qté Prix Remises Montant Cadeau;UNICA;HLESCE01;ECS07;133;ANSES DOUBLE CHAÎNE EN « T » EN FAUX CUIR EFFET GRIFFÉ;UNICA;31120;18;24
OBAGB001;EVS00;389;CORPS O BAG EVA COMPOUND;UNICA;2018;2489;8;;;
OBAGB002;EVS00;389;CORPS O BAG MINI EVA COMPOUND;UNICA;12;979,4;20,577;;;
OBAGB033;EVS00;17;CORPS O BAG URBAN EVA COMPOUND;UNICA;11;32;4,13;;;
OBAGB001;EVS00;24;CORPS O BAG EVA COMPOUND;UNICA;7;979,4;1,928;;;
OBAGB001;EVS00;541;CORPS O BAG EVA COMPOUND;UNICA;17;0;37,92;;;
OBAGB033;EVS00;78;CORPS O BAG URBAN EVA COMPOUND;UNICA;000_SPTRASP;0;617,28;;;
OBAGB034;EVS00;24;CORPS O BAG GLAM EVA COMPOUND;UNICA;0;392690979;239,4;;;
OBAGB034;EVS00;71;CORPS O BAG GLAM EVA COMPOUND;UNICA;0;420222100;84,8;;;
OBAGB206;EVS00;24;CORPS INFÉRIEUR O POCKET EVA COMPOUND;UNICA;0;420222909;20,577;;;
OBAGS001;TESR1;18;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG EN TISSU COTTON CORDUROY;UNICA;27/11/2018;790700000;4,13;;;
OBAGS001;TESR1;258;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG EN TISSU COTTON CORDUROY;UNICA;86;2;1,928;;;
OBAGS002;TESR1;18;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG MINI EN TISSU COTTON CORDUROY;UNICA;258;47;37,92;;;
 ;;;;;;;;;;
