Reference;;Facture;;Total;;;;
2018 50 3148 27/11/2018;;EUR 1.011,40;;979,4;;;;
Ligne;Modèle;Code pièce;Couleur;Taille;Quantité;Prix unitaire;Montant;Libellé
1;HLESCE01;ECS07;133;UNICA;8;10,6;84,8;ANSES DOUBLE CHAÎNE EN « T » EN FAUX CUIR EFFET GRIFFÉ
16;OBAGB001;EVS00;389;UNICA;8;14,4;115,2;CORPS O BAG EVA COMPOUND
3;OBAGB002;EVS00;389;UNICA;10;14,4;144;CORPS O BAG MINI EVA COMPOUND
9;OBAGB033;EVS00;017;UNICA;3;14,16;42,48;CORPS O BAG URBAN EVA COMPOUND
8;OBAGB001;EVS00;024;UNICA;8;14,4;115,2;CORPS O BAG EVA COMPOUND
5;OBAGB001;EVS00;541;UNICA;6;14,4;86,4;CORPS O BAG EVA COMPOUND
2;OBAGB033;EVS00;078;UNICA;3;14,16;42,48;CORPS O BAG URBAN EVA COMPOUND
13;OBAGB034;EVS00;024;UNICA;2;11,88;23,76;CORPS O BAG GLAM EVA COMPOUND
6;OBAGB034;EVS00;071;UNICA;2;11,88;23,76;CORPS O BAG GLAM EVA COMPOUND
4;OBAGB206;EVS00;024;UNICA;5;4,8;24;CORPS INFÉRIEUR O POCKET EVA COMPOUND
14;OBAGS001;TESR1;018;UNICA;5;10,8;54;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG EN TISSU COTTON CORDUROY
15;OBAGS001;TESR1;258;UNICA;8;10,8;86,4;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG EN TISSU COTTON CORDUROY
10;OBAGS002;TESR1;018;UNICA;3;9;27;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG MINI EN TISSU COTTON CORDUROY
12;OBAGS002;TESR1;086;UNICA;5;9;45;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG MINI EN TISSU COTTON CORDUROY
11;OBAGS002;TESR1;258;UNICA;3;9;27;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG MINI EN TISSU COTTON CORDUROY
7;SHOUX101;ECS00;018;UNICA;2;18,96;37,92;BANDOULIÈRE EXTRASLIM 110 + ANSES TUBULAIRES + CLIP FAUX CUIR
