Reference;;Facture;;Total;Total lu;;;
2018 50 3316 05/12/2018;;EUR 707,69;;675,69;675,69;;;
Ligne;Modäle;Code piäce;Couleur;Taille;QuantitÇ;Prix unitaire;Montant;LibellÇ
3;HLESG000;ECS04;038;UNICA;15;7,03;105,45;ANSES LONGUES EN FAUX CUIR POMPON
1;OBAGB002;EVS00;026;UNICA;8;14,4;115,2;CORPS O BAG MINI EVA COMPOUND
2;OBAGB002;EVS00;075;UNICA;10;14,4;144;CORPS O BAG MINI EVA COMPOUND
6;OBAGB001;EVS00;559;UNICA;8;14,4;115,2;CORPS O BAG EVA COMPOUND
7;OBAGB002;EVS00;559;UNICA;8;14,4;115,2;CORPS O BAG MINI EVA COMPOUND
8;OBAGB017;EVS00;540;UNICA;3;11,04;33,12;CORPS O MOON LIGHT EVA COMPOUND
4;OBAGB032;EVS00;078;UNICA;2;14,16;28,32;CORPS O BAG KNIT MINI EVA COMPOUND
5;OBAGB206;EVS00;559;UNICA;4;4,8;19,2;CORPS INFêRIEUR O POCKET EVA COMPOUND
