Reference;;Facture;;Total;Total lu;;;
2018 50 3178 28/11/2018;;EUR 112,82;;88,82;88,82;;;TOULOUSE
Ligne;Modäle;Code piäce;Couleur;Taille;QuantitÇ;Prix unitaire;Montant;LibellÇ
2;HLESGC00;ECS04;38;10;10;6,05;60,5;ANSES COURTES EN FAUX CUIR POMPON
1;OBAGB032;EVS00;559;2;2;14,16;28,32;CORPS O BAG KNIT MINI EVA COMPOUND
;;;;;;;;
Reference;;Facture;;Total;Total lu;;;
2018 50 3316 05/12/2018;;EUR 707,69;;675,69;675,69;;;TOULOUSE
Ligne;Mod?le;Code pi?ce;Couleur;Taille;Quantit?;Prix unitaire;Montant;Libell?
3;HLESG000;ECS04;38;UNICA;15;7,03;105,45;ANSES LONGUES EN FAUX CUIR POMPON
1;OBAGB002;EVS00;26;UNICA;8;14,4;115,2;CORPS O BAG MINI EVA COMPOUND
2;OBAGB002;EVS00;75;UNICA;10;14,4;144;CORPS O BAG MINI EVA COMPOUND
6;OBAGB001;EVS00;559;UNICA;8;14,4;115,2;CORPS O BAG EVA COMPOUND
7;OBAGB002;EVS00;559;UNICA;8;14,4;115,2;CORPS O BAG MINI EVA COMPOUND
8;OBAGB017;EVS00;540;UNICA;3;11,04;33,12;CORPS O MOON LIGHT EVA COMPOUND
4;OBAGB032;EVS00;78;UNICA;2;14,16;28,32;CORPS O BAG KNIT MINI EVA COMPOUND
5;OBAGB206;EVS00;559;UNICA;4;4,8;19,2;CORPS INFêRIEUR O POCKET EVA COMPOUND
;;;;;;;;
Reference;;Facture;;Total;;;;
2018 50 3148 27/11/2018;;EUR 1.011,40;;979,4;;;;TOULOUSE
Ligne;Modäle;Code piäce;Couleur;Taille;QuantitÇ;Prix unitaire;Montant;LibellÇ
1;HLESCE01;ECS07;133;UNICA;8;10,6;84,8;ANSES DOUBLE CHA◊NE EN ÆˇTˇØ EN FAUX CUIR EFFET GRIFFê
16;OBAGB001;EVS00;389;UNICA;8;14,4;115,2;CORPS O BAG EVA COMPOUND
3;OBAGB002;EVS00;389;UNICA;10;14,4;144;CORPS O BAG MINI EVA COMPOUND
9;OBAGB033;EVS00;17;UNICA;3;14,16;42,48;CORPS O BAG URBAN EVA COMPOUND
8;OBAGB001;EVS00;24;UNICA;8;14,4;115,2;CORPS O BAG EVA COMPOUND
5;OBAGB001;EVS00;541;UNICA;6;14,4;86,4;CORPS O BAG EVA COMPOUND
2;OBAGB033;EVS00;78;UNICA;3;14,16;42,48;CORPS O BAG URBAN EVA COMPOUND
13;OBAGB034;EVS00;24;UNICA;2;11,88;23,76;CORPS O BAG GLAM EVA COMPOUND
6;OBAGB034;EVS00;71;UNICA;2;11,88;23,76;CORPS O BAG GLAM EVA COMPOUND
4;OBAGB206;EVS00;24;UNICA;5;4,8;24;CORPS INFêRIEUR O POCKET EVA COMPOUND
14;OBAGS001;TESR1;18;UNICA;5;10,8;54;POCHETTE INTêRIEURE FERMETURE êCLAIR O BAG EN TISSU COTTON CORDUROY
15;OBAGS001;TESR1;258;UNICA;8;10,8;86,4;POCHETTE INTêRIEURE FERMETURE êCLAIR O BAG EN TISSU COTTON CORDUROY
10;OBAGS002;TESR1;18;UNICA;3;9;27;POCHETTE INTêRIEURE FERMETURE êCLAIR O BAG MINI EN TISSU COTTON CORDUROY
12;OBAGS002;TESR1;86;UNICA;5;9;45;POCHETTE INTêRIEURE FERMETURE êCLAIR O BAG MINI EN TISSU COTTON CORDUROY
11;OBAGS002;TESR1;258;UNICA;3;9;27;POCHETTE INTêRIEURE FERMETURE êCLAIR O BAG MINI EN TISSU COTTON CORDUROY
7;SHOUX101;ECS00;18;UNICA;2;18,96;37,92;BANDOULI‘RE EXTRASLIM 110 + ANSES TUBULAIRES + CLIP FAUX CUIR
