'001;001;CodeBarre;OCLKD001-MESF5-008;O CLOCK MECCANISMO SPARKLING HEART BLANC;UNICA;4;9,63;38,52;CodeBarre;CodeBarre;CodeBarre
'002;002;8058047002022;ACCEO114-MAS00-076;ACCESSORIO PORTACHIAVI LETTERING LOVE MATERIALE PLASTICO ROUGE;UNICA;6;7,78;46,68; ; ; 
'003;003;8058047001971;OBAGS002-TESBV-055;SACCA INTERNA ZIP O BAG MINI TESSUTO STAMPA LOVE NOIR;UNICA;3;11,85;35,55; ; ; 
'004;004;CodeBarre;OCLKS007-SIS01-076;O CLOCK BRACELET COVER EN SILICONE ROUGE;S;3;3,60;10,80;CodeBarre;CodeBarre;CodeBarre
'005;005;8058047002008;ACCEP001-ECSE4-055;ACCESSORIO POCHETTE ECOPELLE STAMPA LOVE NOIR;UNICA;3;10,00;30,00; ; ; 
'006;006;8058047001964;OBAGS001-TESBV-076;SACCA INTERNA ZIP O BAG TESSUTO STAMPA LOVE ROUGE;UNICA;3;11,85;35,55; ; ; 
'007;007;8058047001957;OBAGS001-TESBV-055;SACCA INTERNA ZIP O BAG TESSUTO STAMPA LOVE NOIR;UNICA;3;11,85;35,55; ; ; 
'008;008;8058047001919;OBAGB001-EVS59-038;SCOCCA O BAG EVA COMPOUND STAMPA LOVE GRIS GRAPHITE;UNICA;3;27,78;83,34; ; ; 
'009;009;8058047001926;OBAGB001-EVS59-076;SCOCCA O BAG EVA COMPOUND STAMPA LOVE ROUGE;UNICA;3;27,78;83,34; ; ; 
'010;010;8050846035133;HLESCE01-ECS00-055;ANSES DOUBLE CHAINE EN " T " EN FAUX CUIR NOIR;UNICA;6;12,66;75,96;ANSES/DOUBLECHAI;BLACK;0
'011;011;CodeBarre;OCLKD001-MESF5-025;O CLOCK MECCANISMO SPARKLING HEART CIPRIA;UNICA;4;9,63;38,52;CodeBarre;CodeBarre;CodeBarre
'012;012;8058047001933;OBAGB002-EVS59-038;label FULL SPOT SPA label CSUPIK/2019/02/7728 label 29/01/2019;UNICA;3;27,78;83,34; ; ; 
'013;013;8058047001988;OBAGS002-TESBV-076;SCOCCA O BAG MINI EVA COMPOUND STAMPA LOVE GRIS GRAPHITE;UNICA;3;11,85;35,55; ; ; 
'014;014;8058047001940;OBAGB002-EVS59-076;SACCA INTERNA ZIP O BAG MINI TESSUTO STAMPA LOVE ROUGE;UNICA;3;27,78;83,34; ; ; 
'015;015;CodeBarre;OCLKS007-SIS01-076;SCOCCA O BAG MINI EVA COMPOUND STAMPA LOVE ROUGE;M;2;3,60;7,20;CodeBarre;CodeBarre;CodeBarre
'016;016;8058047002015;ACCEP001-ECSE4-371;O CLOCK BRACELET COVER EN SILICONE ROUGE;UNICA;3;10,00;30,00; ; ; 
'017;017;CodeBarre;OCLKS007-SIS01-025;ACCESSORIO POCHETTE ECOPELLE STAMPA LOVE LATTE;M;2;3,60;7,20;CodeBarre;CodeBarre;CodeBarre
'018;018;8050846011151;HLESMD00-ECS46-055;O CLOCK BRACELET COVER EN SILICONE CIPRIA;UNICA;6;12,66;75,96;ANSES/MICROTUB  ;BLACK;0
'019;019;CodeBarre;OCLKD001-MESF5-076;MICRO-ANSES TUBULAIRES COURTES EN FAUX CUIR LISSE NOIR;UNICA;3;9,63;28,89;CodeBarre;CodeBarre;CodeBarre
'020;020;CodeBarre;ACCEO117-EVS00-076;O CLOCK MECCANISMO SPARKLING HEART ROUGE;UNICA;4;5,19;20,76;CodeBarre;CodeBarre;CodeBarre
'021;021;CodeBarre;OCLKS007-SIS01-025;ACCESSORIO PORTACHIAVI PIERCED HEART EVA COMPOUND ROUGE;S;2;3,60;7,20;CodeBarre;CodeBarre;CodeBarre
'022;022;CodeBarre;OCLKS007-SIS01-055;O CLOCK BRACELET COVER EN SILICONE CIPRIA;M;2;3,60;7,20;CodeBarre;CodeBarre;CodeBarre
'023;023;CodeBarre;OCLKS007-SIS01-055;O CLOCK BRACELET COVER EN SILICONE NOIR;S;3;3,60;10,80;CodeBarre;CodeBarre;CodeBarre
'024;024;8058047001995;ACCEP001-ECSE4-076;O CLOCK BRACELET COVER EN SILICONE NOIR;UNICA;3;10,00;30,00; ; ; 
'025;025;8058047001872;OCLKD001-MESF6-004;Récapitulatif catégories douanières;CodeBarre;CodeBarre;CodeBarre;CodeBarre; ; ; 
