 01;;Boutique;;TOULOUSE
 02;;Ref. facture;;2019 50 228 28/01/2019
 03;;Total facture;;2010,28
 04;;Total produits;;1940,28
 05;;Cumul montant;;1940.28;;Etat courant = 'fichierTraite'
 06;CONTROLE MONTANT OK;;1940.28;1940.28
'001;032;ACCEO114-MAS00-076;ACCESSORIO PORTACHIAVI LETTERING LOVE MATERIALE PLASTICO;UNICA;6;7,780;46,68
'002;037;ACCEO117-EVS00-076;ACCESSORIO PORTACHIAVI PIERCED HEART EVA COMPOUND;UNICA;4;5,190;20,76
'003;028;ACCEP001-ECSE4-055;ACCESSORIO POCHETTE ECOPELLE STAMPA LOVE;UNICA;3;10,000;30,00
'004;033;ACCEP001-ECSE4-076;ACCESSORIO POCHETTE ECOPELLE STAMPA LOVE;UNICA;3;10,000;30,00
'005;046;ACCEP001-ECSE4-371;ACCESSORIO POCHETTE ECOPELLE STAMPA LOVE;UNICA;3;10,000;30,00
'006;047;HLESCE01-ECS00-055;ANSES DOUBLE CHAINE EN " T " EN FAUX CUIR;UNICA;6;12,660;75,96
'007;048;HLESMD00-ECS46-055;MICRO-ANSES TUBULAIRES COURTES EN FAUX CUIR LISSE;UNICA;6;12,660;75,96
'008;039;OBAGB001-EVS59-038;SCOCCA O BAG EVA COMPOUND STAMPA LOVE;UNICA;3;27,780;83,34
'009;038;OBAGB001-EVS59-076;SCOCCA O BAG EVA COMPOUND STAMPA LOVE;UNICA;3;27,780;83,34
'010;049;OBAGB002-EVS59-038;SCOCCA O BAG MINI EVA COMPOUND STAMPA LOVE;UNICA;3;27,780;83,34
'011;044;OBAGB002-EVS59-076;SCOCCA O BAG MINI EVA COMPOUND STAMPA LOVE;UNICA;3;27,780;83,34
'012;043;OBAGS001-TESBV-055;SACCA INTERNA ZIP O BAG TESSUTO STAMPA LOVE;UNICA;3;11,850;35,55
'013;030;OBAGS001-TESBV-076;SACCA INTERNA ZIP O BAG TESSUTO STAMPA LOVE;UNICA;3;11,850;35,55
'014;002;OBAGS002-TESBV-055;SACCA INTERNA ZIP O BAG MINI TESSUTO STAMPA LOVE;UNICA;3;11,850;35,55
'015;034;OBAGS002-TESBV-076;SACCA INTERNA ZIP O BAG MINI TESSUTO STAMPA LOVE;UNICA;3;11,850;35,55
'016;027;OCLKD001-MESF5-008;O CLOCK MECCANISMO SPARKLING HEART;UNICA;4;9,630;38,52
'017;045;OCLKD001-MESF5-025;O CLOCK MECCANISMO SPARKLING HEART;UNICA;4;9,630;38,52
'018;042;OCLKD001-MESF5-076;O CLOCK MECCANISMO SPARKLING HEART;UNICA;3;9,630;28,89
'019;031;OCLKD001-MESF6-004;O CLOCK MECCANISMO SHINY HEARTS;UNICA;3;9,630;28,89
'020;041;OCLKS007-SIS01-025;O CLOCK BRACELET COVER EN SILICONE;S;2;3,600;7,20
'021;036;OCLKS007-SIS01-025;O CLOCK BRACELET COVER EN SILICONE;M;2;3,600;7,20
'022;029;OCLKS007-SIS01-055;O CLOCK BRACELET COVER EN SILICONE;S;3;3,600;10,80
'023;026;OCLKS007-SIS01-055;O CLOCK BRACELET COVER EN SILICONE;M;2;3,600;7,20
'024;040;OCLKS007-SIS01-076;O CLOCK BRACELET COVER EN SILICONE;S;3;3,600;10,80
'025;035;OCLKS007-SIS01-076;O CLOCK BRACELET COVER EN SILICONE;M;2;3,600;7,20
'026;010;ACCEO114-MAS00-076;ACCESSORIO PORTACHIAVI LETTERING LOVE MATERIALE PLASTICO;UNICA;6;7,780;46,68
