Modele;Couleur;Taille;Prix Achat;Prix Vente;Saison;Code complet;Code incomplet;Prix achat (bis)
ABATJOUROJOY;ANTHR;0;7,2;20;H17;ABATJOUROJOY|ANTHR|0;ABATJOUROJOY|0;7,2
ABATJOUROJOY;AUBER;0;7,2;20;H17;ABATJOUROJOY|AUBER|0;ABATJOUROJOY|0;7,2
ABATJOUROJOY;BLUE;0;7,2;20;H17;ABATJOUROJOY|BLUE|0;ABATJOUROJOY|0;7,2
ABATJOUROJOY;VERT;0;7,2;20;H17;ABATJOUROJOY|VERT|0;ABATJOUROJOY|0;7,2
ABATJOUROJOY;WHITE;0;7,2;20;H17;ABATJOUROJOY|WHITE|0;ABATJOUROJOY|0;7,2
ABATJOUROJOY;YELLO;0;7,2;20;H17;ABATJOUROJOY|YELLO|0;ABATJOUROJOY|0;7,2
ANS/BOUCLE/SAFFI;BRIQU;0;13,33;40;E19;ANS/BOUCLE/SAFFI|BRIQU|0;ANS/BOUCLE/SAFFI|0;13,33
ANS/BOUCLE/SAFFI;NAVY;0;13,33;40;E19;ANS/BOUCLE/SAFFI|NAVY|0;ANS/BOUCLE/SAFFI|0;13,33
ANSCHAI+BANDOULI;BDX;0;13;39;H18;ANSCHAI+BANDOULI|BDX|0;ANSCHAI+BANDOULI|0;13
ANSCHAI+BANDOULI;BLACK;0;13;39;H18;ANSCHAI+BANDOULI|BLACK|0;ANSCHAI+BANDOULI|0;13
ANSCHAI+BANDOULI;BRONZ;0;13;39;H18;ANSCHAI+BANDOULI|BRONZ|0;ANSCHAI+BANDOULI|0;13
ANSCHAI+BANDOULI;SLVG;0;13;39;H18;ANSCHAI+BANDOULI|SLVG|0;ANSCHAI+BANDOULI|0;13
ANSE/COURTE/CLIP;BLACK;0;6,3;19;E19;ANSE/COURTE/CLIP|BLACK|0;ANSE/COURTE/CLIP|0;6,3
ANSE/COURTE/CLIP;BRIQU;0;6,3;19;E19;ANSE/COURTE/CLIP|BRIQU|0;ANSE/COURTE/CLIP|0;6,3
ANSE/COURTE/CLIP;SAND;0;6,3;19;E19;ANSE/COURTE/CLIP|SAND|0;ANSE/COURTE/CLIP|0;6,3
